text_id,sentence_index,removed_sentence,ppl_without_sentence,original_ppl,ppl_change
0,0,"For this instance, the model predicted bad credit risk.",4.2,4.75,-0.55
0,1,Purpose (Purpose of the loan) is the most important feature and has a positive influence on the prediction.,5.51,4.75,0.76
0,2,Credit amount (Amount of credit requested) is the second most important feature and has a positive influence on the prediction.,6.62,4.75,1.86
0,3,Age (Age of the applicant) is the third most important feature and has a positive influence on the prediction.,7.2,4.75,2.44
0,4,Checking account (Status of the applicant's checking account) is the 4th most important feature and has a positive influence on the prediction.,6.2,4.75,1.44
1,0,"For this instance, the model predicted bad credit risk.",4.19,4.46,-0.28
1,1,Age (Age of the applicant) is the most important feature and has a positive influence on the prediction.,5.87,4.46,1.4
1,2,Credit amount (Amount of credit requested) is the second most important feature and has a positive influence on the prediction.,6.41,4.46,1.95
1,3,Purpose (Purpose of the loan) is the third most important feature and has a positive influence on the prediction.,6.2,4.46,1.74
1,4,"Housing (Housing status (Own, Rent, etc.)) is the 4th most important feature and has a positive influence on the prediction.",5.48,4.46,1.02
2,0,"For this instance, the model predicted bad credit risk.",3.78,4.32,-0.53
2,1,Duration (Duration of the loan in months) is the most important feature and has a positive influence on the prediction.,5.24,4.32,0.92
2,2,Credit amount (Amount of credit requested) is the second most important feature and has a positive influence on the prediction.,5.95,4.32,1.64
2,3,Age (Age of the applicant) is the third most important feature and has a negative influence on the prediction.,6.22,4.32,1.9
2,4,Purpose (Purpose of the loan) is the 4th most important feature and has a negative influence on the prediction.,5.71,4.32,1.39
3,0,"For this instance, the model predicted bad credit risk.",3.75,4.27,-0.52
3,1,Duration (Duration of the loan in months) is the most important feature and has a positive influence on the prediction.,6.02,4.27,1.75
3,2,Purpose (Purpose of the loan) is the second most important feature and has a negative influence on the prediction.,6.14,4.27,1.87
3,3,Age (Age of the applicant) is the third most important feature and has a negative influence on the prediction.,6.13,4.27,1.86
3,4,Credit amount (Amount of credit requested) is the 4th most important feature and has a negative influence on the prediction.,5.44,4.27,1.17
4,0,"For this instance, the model predicted bad credit risk.",3.9,4.1,-0.2
4,1,Age (Age of the applicant) is the most important feature and has a positive influence on the prediction.,6.07,4.1,1.97
4,2,Purpose (Purpose of the loan) is the second most important feature and has a positive influence on the prediction.,5.79,4.1,1.69
4,3,Credit amount (Amount of credit requested) is the third most important feature and has a positive influence on the prediction.,5.63,4.1,1.53
4,4,Duration (Duration of the loan in months) is the 4th most important feature and has a negative influence on the prediction.,5.52,4.1,1.42
5,0,"For this instance, the model predicted bad credit risk.",4.1,4.28,-0.18
5,1,Age (Age of the applicant) is the most important feature and has a negative influence on the prediction.,6.21,4.28,1.93
5,2,Purpose (Purpose of the loan) is the second most important feature and has a positive influence on the prediction.,6.07,4.28,1.79
5,3,Duration (Duration of the loan in months) is the third most important feature and has a positive influence on the prediction.,6.22,4.28,1.94
5,4,Checking account (Status of the applicant's checking account) is the 4th most important feature and has a negative influence on the prediction.,5.38,4.28,1.1
6,0,"For this instance, the model predicted bad credit risk.",3.86,4.38,-0.52
6,1,Duration (Duration of the loan in months) is the most important feature and has a positive influence on the prediction.,5.66,4.38,1.28
6,2,Age (Age of the applicant) is the second most important feature and has a negative influence on the prediction.,6.56,4.38,2.18
6,3,Checking account (Status of the applicant's checking account) is the third most important feature and has a negative influence on the prediction.,5.84,4.38,1.46
6,4,Sex (Gender of the applicant) is the 4th most important feature and has a negative influence on the prediction.,5.58,4.38,1.2
7,0,"For this instance, the model predicted good credit risk.",4.39,4.49,-0.1
7,1,Age (Age of the applicant) is the most important feature and has a negative influence on the prediction.,6.43,4.49,1.94
7,2,Purpose (Purpose of the loan) is the second most important feature and has a positive influence on the prediction.,6.44,4.49,1.95
7,3,"Housing (Housing status (Own, Rent, etc.)) is the third most important feature and has a negative influence on the prediction.",5.67,4.49,1.18
7,4,Duration (Duration of the loan in months) is the 4th most important feature and has a positive influence on the prediction.,5.94,4.49,1.45
8,0,"For this instance, the model predicted good credit risk.",3.77,4.31,-0.54
8,1,Duration (Duration of the loan in months) is the most important feature and has a negative influence on the prediction.,5.54,4.31,1.23
8,2,Age (Age of the applicant) is the second most important feature and has a negative influence on the prediction.,6.38,4.31,2.07
8,3,Checking account (Status of the applicant's checking account) is the third most important feature and has a negative influence on the prediction.,5.83,4.31,1.51
8,4,Purpose (Purpose of the loan) is the 4th most important feature and has a positive influence on the prediction.,5.64,4.31,1.32
9,0,"For this instance, the model predicted bad credit risk.",4.43,4.64,-0.21
