text_id,num_sentences,last_sentence,ppl
0,1,"For this instance, the model predicted bad credit risk.",167.79
0,2,Purpose (Purpose of the loan) is the most important feature and has a positive influence on the prediction.,32.51
0,3,Credit amount (Amount of credit requested) is the second most important feature and has a positive influence on the prediction.,11.03
0,4,Age (Age of the applicant) is the third most important feature and has a positive influence on the prediction.,6.2
0,5,Checking account (Status of the applicant's checking account) is the 4th most important feature and has a positive influence on the prediction.,4.75
1,1,"For this instance, the model predicted bad credit risk.",167.79
1,2,Age (Age of the applicant) is the most important feature and has a positive influence on the prediction.,25.73
1,3,Credit amount (Amount of credit requested) is the second most important feature and has a positive influence on the prediction.,9.08
1,4,Purpose (Purpose of the loan) is the third most important feature and has a positive influence on the prediction.,5.48
1,5,"Housing (Housing status (Own, Rent, etc.)) is the 4th most important feature and has a positive influence on the prediction.",4.46
2,1,"For this instance, the model predicted bad credit risk.",167.79
2,2,Duration (Duration of the loan in months) is the most important feature and has a positive influence on the prediction.,25.51
2,3,Credit amount (Amount of credit requested) is the second most important feature and has a positive influence on the prediction.,9.73
2,4,Age (Age of the applicant) is the third most important feature and has a negative influence on the prediction.,5.71
2,5,Purpose (Purpose of the loan) is the 4th most important feature and has a negative influence on the prediction.,4.32
3,1,"For this instance, the model predicted bad credit risk.",167.79
3,2,Duration (Duration of the loan in months) is the most important feature and has a positive influence on the prediction.,25.51
3,3,Purpose (Purpose of the loan) is the second most important feature and has a negative influence on the prediction.,9.28
3,4,Age (Age of the applicant) is the third most important feature and has a negative influence on the prediction.,5.44
3,5,Credit amount (Amount of credit requested) is the 4th most important feature and has a negative influence on the prediction.,4.27
4,1,"For this instance, the model predicted bad credit risk.",167.79
4,2,Age (Age of the applicant) is the most important feature and has a positive influence on the prediction.,25.73
4,3,Purpose (Purpose of the loan) is the second most important feature and has a positive influence on the prediction.,9.25
4,4,Credit amount (Amount of credit requested) is the third most important feature and has a positive influence on the prediction.,5.52
4,5,Duration (Duration of the loan in months) is the 4th most important feature and has a negative influence on the prediction.,4.1
5,1,"For this instance, the model predicted bad credit risk.",167.79
5,2,Age (Age of the applicant) is the most important feature and has a negative influence on the prediction.,26.4
5,3,Purpose (Purpose of the loan) is the second most important feature and has a positive influence on the prediction.,9.46
5,4,Duration (Duration of the loan in months) is the third most important feature and has a positive influence on the prediction.,5.38
5,5,Checking account (Status of the applicant's checking account) is the 4th most important feature and has a negative influence on the prediction.,4.28
