text_id,sentence_index,removed_sentence,ppl_without_sentence,original_ppl,ppl_change
0,0,"The model predicted that this patient is at risk of having a stroke, and the story begins with age playing a decisive role: at 78 years old, the patient is much older than the typical individual in the dataset, and advanced age is widely recognized as a major risk factor for stroke due to the cumulative effects of vascular changes over time.",10.86,8.21,2.65
0,1,"While the patient’s average glucose level is only slightly above the dataset average, this factor did not significantly sway the prediction, perhaps because it remains within a relatively healthy range and does not indicate diabetes or severe metabolic issues.",9.29,8.21,1.08
0,2,"Similarly, the patient’s body mass index is actually lower than average, suggesting that weight is not contributing to increased risk in this case, and may even offer some protective effect.",8.92,8.21,0.72
0,3,"The absence of hypertension, a common driver of stroke risk, further complicates the picture, as one might expect this to lower the overall risk, but its influence was minimal compared to the overwhelming impact of age.",8.93,8.21,0.72
0,4,"Ultimately, the model’s decision hinges on the understanding that, despite some favorable health indicators, the patient’s advanced age alone substantially elevates the likelihood of stroke, overshadowing the more modest effects of other health and lifestyle factors.",9.06,8.21,0.85
1,0,"For this patient, the model predicted that they are not at risk of having a stroke, and this decision was shaped most strongly by their age.",10.98,9.18,1.8
1,1,"Although the patient is 51 years old—significantly older than the average in the dataset—age alone did not push the risk high enough, perhaps because other factors counterbalanced its effect.",10.48,9.18,1.3
1,2,"Their average glucose level, while slightly above the dataset average, remained within a range that typically does not signal immediate danger, especially when considered alongside the absence of hypertension, a condition known to sharply increase stroke risk.",9.76,9.18,0.58
1,3,"The patient’s body mass index is elevated, which could have raised concern, but without additional risk factors such as high blood pressure, its impact was lessened.",10.33,9.18,1.15
1,4,"Finally, the patient’s gender did not meaningfully sway the prediction, so the model ultimately concluded that, despite some elevated health indicators, the overall risk of stroke for this individual remains low.",10.61,9.18,1.43
2,0,"For this patient, the model predicted that they are not at risk of having a stroke, and the reasoning begins with their age, which, while slightly above the average in the dataset, is still within a range where stroke risk is generally lower compared to older adults.",9.97,6.82,3.15
2,1,"The patient’s average glucose level closely matches the typical value seen in the population, suggesting stable blood sugar control, which is important since elevated glucose can increase stroke risk.",7.53,6.82,0.72
2,2,"Although their body mass index is higher than average, indicating they are in the obese range, this factor alone did not outweigh the protective effects of other features.",8.0,6.82,1.18
2,3,"The absence of hypertension, a major risk factor for stroke, further reassured the model that the patient’s overall risk remains low.",8.02,6.82,1.2
2,4,"Finally, the patient’s gender did not play a significant role in shifting the prediction, so the model’s decision was primarily shaped by the interplay of age, glucose, BMI, and hypertension status, ultimately leading to a low predicted risk of stroke.",8.26,6.82,1.45
3,0,"For this patient, the model predicted that they are not at risk of having a stroke, and this decision was shaped most strongly by their age.",10.77,9.09,1.69
3,1,"Although the patient is 52 years old—significantly older than the average in the dataset—the model recognized that age alone does not determine stroke risk, especially when other factors are considered.",11.35,9.09,2.27
3,2,"Their average glucose level is somewhat higher than typical, but not alarmingly so, and this moderate elevation did not outweigh other protective factors.",9.63,9.09,0.54
3,3,"Interestingly, while the patient’s body mass index is above average, the absence of hypertension—a well-known risk factor for stroke—helped tip the balance toward a lower risk prediction.",11.44,9.09,2.36
3,4,"Taken together, these interconnected health and lifestyle details led the model to conclude that, despite some elevated values, the overall risk profile for this patient does not indicate a likely stroke.",9.33,9.09,0.24
4,0,"For this patient, the model predicted a heightened risk of stroke, and the story begins with age playing a central role: at 64 years old, the patient is significantly older than the average in the dataset, and advanced age is widely recognized as a major risk factor for stroke due to cumulative vascular changes over time.",12.46,8.64,3.82
4,1,"While the patient’s average glucose level is quite close to the typical value and does not stand out as a risk driver, the slightly elevated body mass index suggests a tendency toward overweight, which can contribute to cardiovascular strain and thus subtly nudge the risk upward.",9.87,8.64,1.23
4,2,"Interestingly, the absence of hypertension, a condition often linked to stroke, acts as a small protective factor in this case, but its influence is outweighed by the patient’s age and BMI.",10.73,8.64,2.09
4,3,"The patient’s gender, being male, does not appear to have a notable effect in this prediction, as the model found it less informative for distinguishing stroke risk in this context.",8.99,8.64,0.35
4,4,"Altogether, the model’s decision is shaped most strongly by the patient’s advanced age, with BMI providing additional context, ultimately leading to the conclusion that this individual faces an elevated risk of stroke despite some neutral or protective health factors.",9.0,8.64,0.36
5,0,"The model predicted that this patient is not at risk of having a stroke, and the most influential factor in this decision was the patient’s young age of 8 years, which is far below the average age in the dataset and strongly associated with a lower likelihood of stroke.",10.61,7.16,3.45
5,1,"This protective effect is further reinforced by the patient’s low body mass index of 18.4, which suggests a healthy weight for their age and reduces the risk of cardiovascular complications.",8.43,7.16,1.27
