text_id,num_sentences,distinct_2gram_ratio,ttr,verb_ratio,connectives_ratio,cumulative_ppls
0,5,0.946746,0.682353,0.211765,0.1,"[52.6039, 34.0935, 20.5325, 16.069, 12.807]"
1,5,0.970414,0.69186,0.162791,0.093023,"[37.3074, 18.3193, 12.1781, 10.4537, 10.6972]"
2,5,0.959732,0.684211,0.164474,0.072368,"[44.0083, 22.2906, 13.8627, 11.8071, 11.1389]"
3,5,0.977444,0.746377,0.137681,0.072464,"[41.4309, 24.6418, 19.1132, 15.4384, 12.6727]"
4,5,0.977273,0.686567,0.171642,0.067164,"[30.5902, 15.9132, 15.7162, 13.6665, 10.5891]"
5,5,0.962733,0.672727,0.145455,0.072727,"[50.712, 28.044, 20.3517, 14.4602, 12.9268]"
6,5,0.940789,0.692308,0.160256,0.089744,"[39.0258, 18.9214, 13.4953, 11.6182, 10.9928]"
7,5,0.968153,0.67284,0.160494,0.080247,"[34.8378, 22.519, 12.9763, 12.4334, 11.1001]"
8,5,0.982143,0.639535,0.168605,0.093023,"[27.1085, 22.5564, 11.4433, 10.3911, 9.7227]"
9,5,0.969136,0.644172,0.171779,0.07362,"[37.3074, 31.6855, 17.3971, 14.3734, 10.7522]"
10,5,0.977444,0.691176,0.147059,0.073529,"[39.132, 25.9583, 20.8086, 16.0421, 11.7588]"
11,5,0.972973,0.704698,0.120805,0.080537,"[32.5507, 18.3406, 16.0449, 12.6624, 12.3872]"
12,5,0.986577,0.730263,0.197368,0.072368,"[42.6787, 35.2882, 20.0609, 14.636, 13.9645]"
13,5,0.958333,0.705479,0.212329,0.075342,"[42.6787, 40.0144, 21.4096, 16.2802, 14.5082]"
14,5,0.960265,0.675159,0.152866,0.076433,"[36.8507, 24.9039, 16.9965, 14.7039, 12.7992]"
15,5,0.969697,0.64497,0.195266,0.076923,"[38.8498, 19.284, 16.4509, 13.6307, 11.3647]"
16,5,0.971631,0.722222,0.201389,0.076389,"[39.6364, 19.7728, 14.6872, 12.8299, 12.2741]"
17,5,0.981707,0.724551,0.227545,0.071856,"[45.9369, 30.9219, 21.0776, 13.9912, 11.6235]"
18,5,0.954839,0.687898,0.191083,0.057325,"[42.6787, 39.8095, 24.0981, 17.6971, 12.288]"
19,5,0.965278,0.734694,0.156463,0.07483,"[50.8216, 27.2994, 17.5068, 14.8858, 12.9719]"
20,5,0.974026,0.66242,0.191083,0.076433,"[42.6787, 40.0144, 20.2925, 15.306, 13.3202]"
21,5,0.987179,0.654088,0.106918,0.069182,"[31.8984, 22.5412, 14.993, 13.0319, 12.3781]"
22,5,0.962264,0.679245,0.188679,0.081761,"[42.6787, 28.6436, 16.0043, 12.7559, 12.9348]"
23,5,0.967532,0.677215,0.183544,0.075949,"[34.8378, 21.019, 13.2585, 13.6195, 11.1833]"
24,5,0.97546,0.674699,0.192771,0.078313,"[39.6266, 22.0673, 16.948, 14.4747, 11.988]"
25,5,0.976048,0.660714,0.208333,0.089286,"[35.8015, 23.9949, 14.8732, 12.6085, 11.0148]"
26,5,0.966887,0.666667,0.156863,0.078431,"[41.0703, 21.2586, 15.0364, 13.6197, 11.6145]"
27,5,0.982659,0.742857,0.16,0.062857,"[49.3176, 26.5405, 19.4952, 16.1358, 14.0249]"
28,5,0.966443,0.717105,0.157895,0.059211,"[39.0973, 20.4623, 16.4163, 13.5866, 12.7652]"
29,5,0.96,0.6875,0.204545,0.068182,"[42.6787, 25.0279, 18.3076, 16.6073, 12.3711]"
