id,text,ppl
0,"The features Age (Age of the patient), Glucose (Plasma glucose concentration), BMI (Body Mass Index (kg/m^2)), DiabetesPedigreeFunction (Diabetes pedigree function), and Insulin (2-Hour serum insulin (mu U/ml)) increase the predicted value.",9.52
1,"The features Glucose (Plasma glucose concentration), Insulin (2-Hour serum insulin (mu U/ml)), and SkinThickness (Triceps skin fold thickness (mm)) decrease the predicted value, while Age (Age of the patient) and BMI (Body Mass Index (kg/m^2)) increase the predicted value.",10.64
2,"The features Glucose (Plasma glucose concentration), Age (Age of the patient), BMI (Body Mass Index (kg/m^2)), and Pregnancies (Number of pregnancies) decrease the predicted value, while DiabetesPedigreeFunction (Diabetes pedigree function) increases the predicted value.",8.58
3,"The features Glucose (Plasma glucose concentration), Age (Age of the patient), Insulin (2-Hour serum insulin (mu U/ml)), and DiabetesPedigreeFunction (Diabetes pedigree function) decrease the predicted value, while BMI (Body Mass Index (kg/m^2)) increases the predicted value.",9.69
4,"The features BMI (Body Mass Index (kg/m^2)) and DiabetesPedigreeFunction (Diabetes pedigree function) increase the predicted value, while Age (Age of the patient), Glucose (Plasma glucose concentration), and Pregnancies (Number of pregnancies) decrease the predicted value.",8.48
5,"The features Age (Age of the patient), Glucose (Plasma glucose concentration), and Pregnancies (Number of pregnancies) decrease the predicted value, while BMI (Body Mass Index (kg/m^2)) and Insulin (2-Hour serum insulin (mu U/ml)) increase the predicted value.",7.83
6,"The features Glucose (Plasma glucose concentration), BMI (Body Mass Index (kg/m^2)), Age (Age of the patient), and DiabetesPedigreeFunction (Diabetes pedigree function) increase the predicted value, while BloodPressure (Diastolic blood pressure (mm Hg)) decreases the predicted value.",8.44
7,"The features Glucose (Plasma glucose concentration), Age (Age of the patient), DiabetesPedigreeFunction (Diabetes pedigree function), and Insulin (2-Hour serum insulin (mu U/ml)) decrease the predicted value, while BMI (Body Mass Index (kg/m^2)) increases the predicted value.",8.6
8,"The features Glucose (Plasma glucose concentration) and Age (Age of the patient) decrease the predicted value, while BMI (Body Mass Index (kg/m^2)), Pregnancies (Number of pregnancies), and SkinThickness (Triceps skin fold thickness (mm)) increase the predicted value.",8.16
9,"The feature Glucose (Plasma glucose concentration) increases the predicted value, while the features BMI (Body Mass Index (kg/m^2)), DiabetesPedigreeFunction (Diabetes pedigree function), Pregnancies (Number of pregnancies), and BloodPressure (Diastolic blood pressure (mm Hg)) decrease the predicted value.",7.24
10,"The features Age (Age of the patient), BMI (Body Mass Index (kg/m^2)), Pregnancies (Number of pregnancies), and BloodPressure (Diastolic blood pressure (mm Hg)) increase the predicted value, while Glucose (Plasma glucose concentration) decreases the predicted value.",7.45
11,"The features Glucose (Plasma glucose concentration), BMI (Body Mass Index (kg/m^2)), Insulin (2-Hour serum insulin (mu U/ml)), and BloodPressure (Diastolic blood pressure (mm Hg)) increase the predicted value, while DiabetesPedigreeFunction (Diabetes pedigree function) decreases the predicted value.",9.18
12,"The features BMI (Body Mass Index (kg/m^2)), DiabetesPedigreeFunction (Diabetes pedigree function), and Age (Age of the patient) increase the predicted value, while Glucose (Plasma glucose concentration) and Pregnancies (Number of pregnancies) decrease the predicted value.",8.64
13,"The feature Glucose (Plasma glucose concentration) decreases the predicted value, while the features Age (Age of the patient), BMI (Body Mass Index (kg/m^2)), Pregnancies (Number of pregnancies), and BloodPressure (Diastolic blood pressure (mm Hg)) increase the predicted value.",7.37
14,"The features Age (Age of the patient), BMI (Body Mass Index (kg/m^2)), and Pregnancies (Number of pregnancies) increase the predicted value, while Glucose (Plasma glucose concentration) and DiabetesPedigreeFunction (Diabetes pedigree function) decrease the predicted value.",7.58
15,"The features BMI (Body Mass Index (kg/m^2)), Glucose (Plasma glucose concentration), Age (Age of the patient), DiabetesPedigreeFunction (Diabetes pedigree function), and Insulin (2-Hour serum insulin (mu U/ml)) decrease the predicted value.",9.27
16,"The features BMI (Body Mass Index (kg/m^2)), Glucose (Plasma glucose concentration), Age (Age of the patient), and DiabetesPedigreeFunction (Diabetes pedigree function) decrease the predicted value, while Pregnancies (Number of pregnancies) increases the predicted value.",9.35
17,"The features Age (Age of the patient) and BMI (Body Mass Index (kg/m^2)) increase the predicted value, while Glucose (Plasma glucose concentration), DiabetesPedigreeFunction (Diabetes pedigree function), and BloodPressure (Diastolic blood pressure (mm Hg)) decrease the predicted value.",7.42
18,"The features Glucose (Plasma glucose concentration), BMI (Body Mass Index (kg/m^2)), and SkinThickness (Triceps skin fold thickness (mm)) increase the predicted value, while Age (Age of the patient) and DiabetesPedigreeFunction (Diabetes pedigree function) decrease the predicted value.",8.78
19,"The features BMI (Body Mass Index (kg/m^2)) and Glucose (Plasma glucose concentration) decrease the predicted value, while Age (Age of the patient), DiabetesPedigreeFunction (Diabetes pedigree function), and SkinThickness (Triceps skin fold thickness (mm)) increase the predicted value.",7.7
20,"The features BMI (Body Mass Index (kg/m^2)), Glucose (Plasma glucose concentration), Age (Age of the patient), and Pregnancies (Number of pregnancies) decrease the predicted value, while DiabetesPedigreeFunction (Diabetes pedigree function) increases the predicted value.",8.23
21,"The feature BMI (Body Mass Index (kg/m^2)) increases the predicted value, while the features Glucose (Plasma glucose concentration), Age (Age of the patient), DiabetesPedigreeFunction (Diabetes pedigree function), and Pregnancies (Number of pregnancies) decrease the predicted value.",7.56
22,"The features Glucose (Plasma glucose concentration), BMI (Body Mass Index (kg/m^2)), Age (Age of the patient), DiabetesPedigreeFunction (Diabetes pedigree function), and Insulin (2-Hour serum insulin (mu U/ml)) increase the predicted value.",11.55
23,"The features Glucose (Plasma glucose concentration) and Insulin (2-Hour serum insulin (mu U/ml)) decrease the predicted value, while Age (Age of the patient), BMI (Body Mass Index (kg/m^2)), and Pregnancies (Number of pregnancies) increase the predicted value.",12.74
24,"The features Glucose (Plasma glucose concentration), Age (Age of the patient), BMI (Body Mass Index (kg/m^2)), and SkinThickness (Triceps skin fold thickness (mm)) decrease the predicted value, while Pregnancies (Number of pregnancies) slightly increases the predicted value.",9.17
25,"The features Age (Age of the patient), Glucose (Plasma glucose concentration), DiabetesPedigreeFunction (Diabetes pedigree function), and Pregnancies (Number of pregnancies) decrease the predicted value, while BMI (Body Mass Index (kg/m^2)) increases the predicted value.",9.46
26,"The features Glucose (Plasma glucose concentration), BMI (Body Mass Index (kg/m^2)), Age (Age of the patient), Pregnancies (Number of pregnancies), and Insulin (2-Hour serum insulin (mu U/ml)) decrease the predicted value.",12.75
27,"The features Glucose (Plasma glucose concentration), Age (Age of the patient), BMI (Body Mass Index (kg/m^2)), DiabetesPedigreeFunction (Diabetes pedigree function), and Insulin (2-Hour serum insulin (mu U/ml)) increase the predicted value.",9.72
28,"The features Age (Age of the patient), Glucose (Plasma glucose concentration), and Pregnancies (Number of pregnancies) decrease the predicted value, while BMI (Body Mass Index (kg/m^2)) and Insulin (2-Hour serum insulin (mu U/ml)) increase the predicted value.",7.83
