text_id,num_sentences,last_sentence,ppl
0,1,"For this instance, the model predicted to fail.",126.33
0,2,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,45.17
0,3,G1 (First period grade) is the second most important feature and has a negative influence on the prediction.,11.21
0,4,Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction.,6.37
0,5,Goout (Frequency of going out with friends) is the 4th most important feature and has a positive influence on the prediction.,5.42
1,1,"For this instance, the model predicted to fail.",126.33
1,2,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,45.17
1,3,G1 (First period grade) is the second most important feature and has a negative influence on the prediction.,11.21
1,4,Pstatus (Parent's cohabitation status) is the third most important feature and has a positive influence on the prediction.,6.56
1,5,Absences (Number of school absences) is the 4th most important feature and has a positive influence on the prediction.,4.6
2,1,"For this instance, the model predicted to pass.",175.81
2,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,46.93
2,3,Absences (Number of school absences) is the second most important feature and has a positive influence on the prediction.,14.11
2,4,G1 (First period grade) is the third most important feature and has a negative influence on the prediction.,7.18
2,5,Age (Age of the student) is the 4th most important feature and has a positive influence on the prediction.,5.21
3,1,"For this instance, the model predicted to pass.",175.81
3,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,46.93
3,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,11.16
3,4,Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction.,6.4
3,5,Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction.,4.73
4,1,"For this instance, the model predicted to pass.",175.81
4,2,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,50.56
4,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,11.79
4,4,Paid (Extra paid classes) is the third most important feature and has a positive influence on the prediction.,8.38
4,5,Health (Current health status) is the 4th most important feature and has a positive influence on the prediction.,6.33
5,1,"For this instance, the model predicted to pass.",175.81
5,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,46.93
5,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,11.16
5,4,Failures (Number of past class failures) is the third most important feature and has a positive influence on the prediction.,7.44
5,5,Absences (Number of school absences) is the 4th most important feature and has a negative influence on the prediction.,5.1
6,1,"For this instance, the model predicted to pass.",175.81
6,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,46.93
6,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,11.16
6,4,Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction.,6.4
6,5,Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction.,4.73
7,1,"For this instance, the model predicted to pass.",175.81
7,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,46.93
7,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,11.16
7,4,Fjob (Father's job) is the third most important feature and has a negative influence on the prediction.,7.53
7,5,Absences (Number of school absences) is the 4th most important feature and has a negative influence on the prediction.,5.29
8,1,"For this instance, the model predicted to pass.",175.81
8,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,46.93
8,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,11.16
8,4,Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction.,6.4
8,5,Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction.,4.73
9,1,"For this instance, the model predicted to fail.",126.33
9,2,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,45.17
9,3,G1 (First period grade) is the second most important feature and has a negative influence on the prediction.,11.21
9,4,Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction.,6.37
9,5,Paid (Extra paid classes) is the 4th most important feature and has a positive influence on the prediction.,5.27
10,1,"For this instance, the model predicted to pass.",175.81
10,2,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,46.93
10,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,11.16
10,4,Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction.,6.4
10,5,Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction.,4.73
11,1,"For this instance, the model predicted to pass.",175.81
