id,text,ppl
0,"The feature age (Age of the patient) increases the predicted value, while the features avg_glucose_level (Average glucose level), bmi (Body Mass Index), and hypertension (Indicator if the patient has hypertension) decrease the predicted value. The feature gender (Gender of the patient) has a negligible effect on the prediction.",9.12
1,"The features age (Age of the patient), avg_glucose_level (Average glucose level), and hypertension (Indicator if the patient has hypertension) decrease the predicted value, while bmi (Body Mass Index) slightly increases the predicted value. The feature gender (Gender of the patient) has a negligible effect.",11.64
2,"The features age (Age of the patient), avg_glucose_level (Average glucose level), and hypertension (Indicator if the patient has hypertension) decrease the predicted value, while bmi (Body Mass Index) increases the predicted value. The feature gender (Gender of the patient) has no effect on the prediction.",10.03
3,"The features age (Age of the patient), avg_glucose_level (Average glucose level), and hypertension (Indicator if the patient has hypertension) decrease the predicted value, while bmi (Body Mass Index) increases the predicted value. The feature gender (Gender of the patient) has a negligible effect.",11.2
4,"The features age (Age of the patient) and bmi (Body Mass Index) increase the predicted value, while avg_glucose_level (Average glucose level) and hypertension (Indicator if the patient has hypertension) decrease the predicted value. The feature gender (Gender of the patient) has a negligible effect.",9.4
5,"The features age (Age of the patient), bmi (Body Mass Index), avg_glucose_level (Average glucose level), and hypertension (Indicator if the patient has hypertension) decrease the predicted value. The feature gender (Gender of the patient) has no effect on the predicted value.",10.32
6,"The features age (Age of the patient), bmi (Body Mass Index), avg_glucose_level (Average glucose level), and hypertension (Indicator if the patient has hypertension) decrease the predicted value, while gender (Gender of the patient) has no effect on the prediction.",11.51
7,"The features age (Age of the patient), bmi (Body Mass Index), avg_glucose_level (Average glucose level), and hypertension (Indicator if the patient has hypertension) decrease the predicted value, while gender (Gender of the patient) has no effect.",12.59
8,"The features age (Age of the patient) and bmi (Body Mass Index) increase the predicted value, while avg_glucose_level (Average glucose level) and hypertension (Indicator if the patient has hypertension) decrease the predicted value. The feature gender (Gender of the patient) has a negligible effect on the prediction.",8.69
9,"The features age (Age of the patient), bmi (Body Mass Index), avg_glucose_level (Average glucose level), and hypertension (Indicator if the patient has hypertension) decrease the predicted value, while gender (Gender of the patient) has a negligible effect.",12.75
