text_id,sentence_index,removed_sentence,ppl_without_sentence,original_ppl,ppl_change
0,0,"In evaluating the likelihood that this patient has diabetes, the model first considers the patient's age of 53, which exerts the most significant influence by increasing the predicted risk.",12.68,9.83,2.84
0,1,"Building on this, the patient's elevated plasma glucose concentration of 145 further amplifies the probability, as higher glucose levels are closely associated with diabetes onset.",10.36,9.83,0.53
0,2,"The patient's body mass index of 30.30, indicative of obesity, also contributes to the risk, albeit to a lesser extent, by reflecting a known risk factor for diabetes.",12.8,9.83,2.97
0,3,"Additionally, the diabetes pedigree function value of 0.77 suggests a notable familial predisposition, subtly reinforcing the model's prediction.",9.5,9.83,-0.33
0,4,"Finally, the patient's 2-hour serum insulin level of 165 provides further, though smaller, evidence supporting the likelihood of diabetes.",10.21,9.83,0.37
0,5,"Collectively, these factors interact to drive the model's assessment toward a higher probability that the patient has diabetes.",10.89,9.83,1.06
1,0,"In evaluating whether the patient has diabetes, the model primarily considered the patient's plasma glucose concentration.",9.48,8.27,1.21
1,1,"Because the glucose level was relatively low, this factor exerted a strong downward influence on the likelihood of diabetes, substantially reducing the predicted risk.",10.64,8.27,2.37
1,2,"Although the patient's age and body mass index contributed modestly to increasing the probability, their effects were not sufficient to counterbalance the impact of the low glucose value.",11.32,8.27,3.05
1,3,"Meanwhile, both the insulin level and triceps skin fold thickness slightly decreased the risk, but their influence was minor compared to the dominant effect of glucose.",9.26,8.27,0.98
1,4,"Altogether, the interplay of these features led the model to predict a lower chance of diabetes for this patient, with the low glucose concentration serving as the pivotal reason for this outcome.",9.19,8.27,0.91
2,0,"In evaluating whether this patient has diabetes, the model primarily considered several key health indicators.",8.96,8.29,0.66
2,1,"To begin with, the patient's plasma glucose concentration is relatively low, which actively reduces the likelihood of diabetes in this case.",10.86,8.29,2.56
2,2,"This effect is further reinforced by the patient's young age, as younger individuals are generally at a lower risk for developing diabetes.",10.73,8.29,2.43
2,3,"Additionally, the patient's body mass index, while moderately elevated, still contributes to lowering the predicted risk.",9.26,8.29,0.97
2,4,"Although the patient's family history, as reflected by the diabetes pedigree function, slightly increases the probability of diabetes, this influence is not strong enough to outweigh the protective effects of the other factors.",9.41,8.29,1.12
2,5,"Finally, the number of pregnancies exerts a minimal downward influence on the risk.",8.07,8.29,-0.23
2,6,"Taken together, these factors interact to produce a prediction that the patient is less likely to have diabetes, with the low glucose level and young age serving as the most influential protective mechanisms.",9.19,8.29,0.9
3,0,"In evaluating whether the patient has diabetes, the model carefully weighs several key factors.",10.67,9.3,1.38
3,1,"At the outset, the patient's relatively low plasma glucose concentration acts as a strong protective influence, substantially reducing the likelihood of a diabetes diagnosis.",12.85,9.3,3.56
3,2,"This effect is further reinforced by the patient's young age, which also diminishes the risk.",11.73,9.3,2.44
3,3,"As the analysis progresses, the model notes that the patient's elevated Body Mass Index exerts a modest upward pressure on the probability of diabetes, signaling a potential concern.",11.78,9.3,2.48
3,4,"However, this is counterbalanced by the patient's lower serum insulin levels and a low diabetes pedigree function, both of which gently nudge the prediction downward.",9.0,9.3,-0.29
3,5,"Taken together, these interacting factors culminate in a prediction that leans away from a diabetes diagnosis, primarily due to the combined mitigating effects of low glucose levels and youth, despite the presence of a higher BMI.",10.99,9.3,1.69
5,0,"In evaluating whether the patient has diabetes, the model first considers the patient's age of 21, which actively reduces the likelihood of diabetes, as younger individuals are generally at lower risk.",12.68,9.29,3.39
5,1,"However, this protective effect is partially offset by the patient's elevated BMI of 35.80, which exerts upward pressure on the prediction, reflecting the well-established link between higher body mass and increased diabetes risk.",12.28,9.29,3.0
5,2,"Meanwhile, the patient's plasma glucose concentration of 124 slightly decreases the probability, suggesting that this glucose level does not strongly indicate diabetes in this context.",10.15,9.29,0.86
5,3,"The fact that the patient has experienced only one pregnancy also subtly lowers the risk, as higher numbers of pregnancies can sometimes be associated with greater susceptibility.",9.26,9.29,-0.02
5,4,"Finally, the absence of measurable insulin levels nudges the prediction upward, albeit modestly, hinting at a potential concern.",10.51,9.29,1.23
5,5,"Altogether, these factors interact to shape the model's final assessment, with age and glucose acting as mitigating influences, while BMI and insulin absence counterbalance them to some extent.",9.94,9.29,0.65
6,0,"In evaluating whether the patient has diabetes, the model first considered the patient's plasma glucose concentration, which stood out as a significant factor.",10.44,9.28,1.16
6,1,"The notably high glucose level actively pushed the prediction toward a positive diabetes diagnosis, exerting the strongest influence among all features.",10.51,9.28,1.23
6,2,"Building on this, the patient's elevated Body Mass Index further reinforced the likelihood of diabetes, amplifying the model's confidence in its prediction.",11.01,9.28,1.73
6,3,"The patient's advanced age also contributed meaningfully, as older individuals are generally at greater risk for diabetes, thereby nudging the prediction higher.",10.97,9.28,1.69
6,4,"While the diabetes pedigree function added a modest upward influence, suggesting some hereditary risk, its effect was less pronounced.",8.51,9.28,-0.77
6,5,"Interestingly, the patient's diastolic blood pressure slightly counteracted these risks, but its negative contribution was minimal compared to the dominant effects of glucose, BMI, and age.",10.84,9.28,1.56
6,6,"Altogether, these factors combined to drive the model's prediction toward a higher probability that the patient has diabetes.",10.42,9.28,1.14
7,0,"In evaluating whether the patient has diabetes, the model primarily considered the patient's plasma glucose concentration.",10.18,9.42,0.76
7,1,"Because the glucose level was relatively low, this exerted a strong downward influence on the likelihood of diabetes.",12.31,9.42,2.9
7,2,"This effect was further reinforced by the patient's young age, which also contributed to lowering the predicted risk.",12.73,9.42,3.31
7,3,"Although the patient's body mass index was somewhat elevated, nudging the prediction slightly upward, this was not enough to outweigh the protective effects of the other factors.",11.08,9.42,1.66
7,4,"Additionally, a low diabetes pedigree function and moderate insulin levels both played minor roles in reducing the probability of diabetes.",8.66,9.42,-0.76
7,5,"Taken together, these factors combined to decrease the model's overall prediction that the patient has diabetes, with the low glucose level and young age serving as the most influential causes.",10.54,9.42,1.13
8,0,"In evaluating whether the patient has diabetes, the model first considered the patient's plasma glucose concentration, which was measured at 95.",9.37,8.48,0.89
8,1,"This relatively moderate glucose level actively reduced the likelihood of a diabetes diagnosis, exerting the strongest downward influence on the prediction.",9.21,8.48,0.73
8,2,"However, this effect was partially counterbalanced by the patient's elevated Body Mass Index of 37.70, which nudged the prediction upward, signaling that higher body weight increases diabetes risk.",9.86,8.48,1.38
8,3,"Meanwhile, the patient's age of 27 contributed to a lower risk, as younger individuals are generally less susceptible to diabetes, and this factor further decreased the model's estimate.",9.99,8.48,1.51
8,4,"The number of pregnancies, recorded at five, played a smaller but still positive role, slightly increasing the predicted risk, since more pregnancies can be associated with higher diabetes susceptibility.",10.13,8.48,1.65
