text_id,sentence_index,removed_sentence,ppl_without_sentence,original_ppl,ppl_change
0,0,The model predicts the student's outcome based on several factors.,12.74,10.19,2.55
0,1,The student's second period grade (G2) of 9 and first period grade (G1) of 8 both contribute significantly towards a lower chance of passing.,13.43,10.19,3.24
0,2,"Additionally, having 8 school absences slightly increases the risk of failing.",11.32,10.19,1.14
0,3,"The student goes out with friends infrequently, which has a small negative impact on the prediction.",10.63,10.19,0.44
0,4,"However, the fact that the student has no past class failures slightly improves their chances of passing.",11.05,10.19,0.86
0,5,"Overall, the grades and absences are the most influential factors in the model's prediction.",12.39,10.19,2.21
1,0,"The student's lower grades in the first and second periods had the largest negative impact on the prediction, making it less likely they will pass the mathematics course.",22.25,14.54,7.71
1,1,"Additionally, the fact that the student's parents live apart, the number of school absences, and the mother's job being at home contributed slightly towards a higher chance of passing, but these positive effects were much smaller compared to the negative impact of the grades.",25.42,14.54,10.89
2,0,The model predicts that the student will pass or fail the mathematics course based on several factors.,9.56,8.76,0.8
2,1,"The student's second period grade (G2) of 13 has the largest positive impact on the prediction, strongly increasing the likelihood of passing.",14.56,8.76,5.79
2,2,"The number of school absences (6) also contributes positively, but to a much lesser extent.",9.95,8.76,1.19
2,3,"The first period grade (G1) of 10 slightly decreases the chance of passing, though its effect is small.",10.81,8.76,2.05
2,4,The student's age (15) and having no past class failures both provide minor positive contributions to the prediction.,9.03,8.76,0.27
2,5,"Overall, the student's good performance in the second period and lack of previous failures are the most influential factors in the model's assessment.",9.85,8.76,1.09
3,0,The model predicts that the student will pass the mathematics course mainly because of their strong grades in the first and second periods.,16.69,11.17,5.53
3,1,The second period grade (14) and the first period grade (15) both contribute significantly to the prediction.,16.17,11.17,5.0
3,2,"Additionally, the student has very few absences (2), no past class failures, and is 15 years old, all of which have smaller but positive influences on the likelihood of passing.",15.61,11.17,4.44
4,0,The model predicts whether the student will pass or fail the mathematics course based on several factors.,12.52,10.17,2.36
4,1,"The student's second period grade (G2) of 8 had the largest negative impact on the prediction, making it less likely the student will pass.",18.95,10.17,8.79
4,2,"The first period grade (G1) of 11 contributed positively, slightly increasing the chances of passing.",13.11,10.17,2.94
4,3,Attending extra paid classes also had a small positive effect.,9.31,10.17,-0.85
4,4,"The student's very bad current health status and having 2 absences both contributed slightly to the prediction, but their effects were relatively minor compared to the grades.",9.18,10.17,-0.98
4,5,"Overall, the low second period grade was the most influential factor in the model's prediction.",11.68,10.17,1.51
5,0,"The model predicts the student's outcome based mainly on their grades in the first and second periods, with both G2 and G1 being 11, which positively influence the prediction.",18.26,14.53,3.73
5,1,"The student has not failed any classes before and has no absences, both of which also contribute slightly to a positive prediction.",19.88,14.53,5.35
5,2,"Additionally, the fact that the student chose the school for its reputation has a small positive effect.",16.99,14.53,2.46
5,3,"Overall, these factors together suggest the student is likely to pass the mathematics course.",16.52,14.53,1.99
6,0,"The model predicts the student's outcome in the mathematics course primarily based on their grades in the first and second periods, with higher grades contributing positively to the prediction.",32.77,16.99,15.78
6,1,The student's relatively low number of absences and lack of previous class failures also support a favorable outcome.,20.15,16.99,3.16
6,2,"Additionally, the reason for choosing the school, specifically its reputation, has a small positive influence on the prediction.",21.34,16.99,4.35
7,0,"The model predicts that the student will pass the mathematics course mainly because of their strong grades in the first and second periods, which both contribute positively to the prediction.",25.62,14.72,10.91
7,1,The fact that the student has no past class failures also slightly increases the likelihood of passing.,17.33,14.72,2.61
7,2,"Additionally, having no school absences and the father's job being ""at_home"" have small negative effects, but these are outweighed by the positive impact of the student's grades.",19.19,14.72,4.47
8,0,"The model predicts the student's outcome in the mathematics course based mainly on their grades in the first and second periods, with both G2 and G1 being relatively high at 14, which strongly increases the likelihood of passing.",16.1,14.76,1.35
8,1,"The student has had only 4 absences and no previous class failures, both of which contribute positively, though to a lesser extent.",18.3,14.76,3.54
8,2,"Additionally, the student is taking extra paid classes, which also slightly improves their chances of passing.",17.36,14.76,2.61
8,3,"Overall, the student's strong academic performance and supportive factors suggest a high probability of passing the course.",18.8,14.76,4.05
9,0,The model predicts that the student is less likely to pass the mathematics course mainly because of their lower grades in the first and second periods.,14.71,9.85,4.86
9,1,"Specifically, the second period grade of 5 and the first period grade of 6 both contribute significantly to a lower chance of passing.",12.72,9.85,2.87
9,2,"Additionally, the student's number of absences slightly increases the risk of failing.",11.16,9.85,1.31
9,3,"On the positive side, attending extra paid classes and having no previous class failures provide a small boost to the likelihood of passing, but these factors are not enough to outweigh the negative impact of the low grades.",11.02,9.85,1.17
10,0,"The model predicts that the student will pass or fail the mathematics course based mainly on their grades in the first and second periods, with higher grades in both periods (14 out of a possible higher score) contributing significantly to the prediction.",19.32,13.32,6.01
10,1,"The student's relatively low number of absences (4) and no past class failures also positively influence the prediction, while the student's age (16) has a smaller impact.",19.15,13.32,5.84
10,2,"Overall, strong academic performance and good attendance are the most important factors in the model's decision.",15.83,13.32,2.52
