+-------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                    Summary Results                                                                    |
+---------------+-----------------------+-------+--------------+----------+------+------------+------+------+-----------+------+--------+-------+-------+
| Dataset       | Method                | PPL   | Bigram_ratio | Conn_all | TTR  | Verb_ratio | FDR  | CSR  | CECPR     | DCPR | CCPR   | TTCPR | VCPR  |
+---------------+-----------------------+-------+--------------+----------+------+------------+------+------+-----------+------+--------+-------+-------+
| compas        | talktomodel           | 4.5   | 0.6          | 0.09     | 0.36 | 0.17       | 0.24 | <NA> | <NA>      | <NA> | <NA>   | <NA>  | <NA>  |
| compas        | templated_narrative   | 5.1   | 0.62         | 0.1      | 0.41 | 0.18       | 0.24 | 0.15 | nan       | 0.59 | 23.7   | 1.33  | 7.11  |
| compas        | explingo              | 11.7  | 0.89         | 0.14     | 0.62 | 0.17       | 0.32 | <NA> | <NA>      | <NA> | <NA>   | <NA>  | <NA>  |
| compas        | explingo_zero_shot    | 11.42 | 0.95         | 0.09     | 0.69 | 0.22       | 0.38 | 0.31 | nan       | 0.62 | 63.53  | 1.19  | 12.1  |
| compas        | explingo_narratives   | 7.95  | 0.94         | 0.07     | 0.58 | 0.16       | 0.43 | 0.26 | 54388.14  | 0.5  | 82.05  | 1.17  | 14.83 |
| compas        | xaistories            | 9.6   | 0.96         | 0.09     | 0.65 | 0.17       | 0.41 | 0.13 | 17123.1   | 0.44 | 55.96  | 0.97  | 13.46 |
| compas        | xaistories_narratives | 9.65  | 0.96         | 0.08     | 0.65 | 0.17       | 0.41 | 0.17 | 13738.29  | 0.42 | 55.42  | 0.91  | 12.91 |
| diabetes      | talktomodel           | 3.71  | 0.59         | 0.06     | 0.4  | 0.14       | 0.27 | <NA> | <NA>      | <NA> | <NA>   | <NA>  | <NA>  |
| diabetes      | templated_narrative   | 4.19  | 0.61         | 0.06     | 0.45 | 0.14       | 0.26 | 0.24 | nan       | 0.52 | 50.62  | 0.97  | 10.52 |
| diabetes      | explingo              | 8.92  | 0.98         | 0.07     | 0.75 | 0.12       | 0.44 | <NA> | <NA>      | <NA> | <NA>   | <NA>  | <NA>  |
| diabetes      | explingo_zero_shot    | 10.17 | 0.96         | 0.08     | 0.65 | 0.15       | 0.4  | 0.35 | 8420.33   | 0.39 | 54.64  | 0.83  | 14.79 |
| diabetes      | explingo_narratives   | 8.35  | 0.96         | 0.07     | 0.58 | 0.16       | 0.44 | 0.28 | 21767.24  | 0.4  | 66.07  | 0.87  | 11.67 |
| diabetes      | xaistories            | 7.46  | 0.95         | 0.08     | 0.59 | 0.17       | 0.45 | 0.18 | 5725.49   | 0.28 | 39.51  | 0.72  | 8.79  |
| diabetes      | xaistories_narratives | 8.49  | 0.96         | 0.08     | 0.61 | 0.17       | 0.43 | 0.26 | 6661.56   | 0.4  | 52.9   | 0.99  | 13.04 |
| fifa          | talktomodel           | 5.05  | 0.61         | 0.06     | 0.36 | 0.14       | 0.23 | <NA> | <NA>      | <NA> | <NA>   | <NA>  | <NA>  |
| fifa          | templated_narrative   | 5.3   | 0.63         | 0.06     | 0.41 | 0.15       | 0.24 | 0.06 | nan       | 1.0  | 122.43 | 2.3   | 18.11 |
| fifa          | explingo              | 9.13  | 0.92         | 0.07     | 0.58 | 0.14       | 0.38 | <NA> | <NA>      | <NA> | <NA>   | <NA>  | <NA>  |
| fifa          | explingo_zero_shot    | 9.04  | 0.95         | 0.06     | 0.67 | 0.14       | 0.41 | 0.31 | 215779.16 | 0.55 | 139.01 | 1.09  | 25.31 |
| fifa          | explingo_narratives   | 8.49  | 0.94         | 0.07     | 0.63 | 0.15       | 0.42 | 0.33 | 251659.58 | 0.67 | 126.76 | 1.49  | 26.08 |
| fifa          | xaistories            | 10.2  | 0.95         | 0.07     | 0.66 | 0.17       | 0.39 | 0.3  | 70622.24  | 0.42 | 67.43  | 0.86  | 13.78 |
| fifa          | xaistories_narratives | 9.88  | 0.94         | 0.07     | 0.64 | 0.16       | 0.39 | 0.28 | 185070.68 | 0.63 | 107.1  | 1.37  | 20.98 |
| german_credit | talktomodel           | 4.3   | 0.59         | 0.06     | 0.35 | 0.12       | 0.24 | <NA> | <NA>      | <NA> | <NA>   | <NA>  | <NA>  |
