+---------------------------------------------------------------------------------------------------------------------+
|                                              PPL Change Ratios Summary                                              |
+---------------+-----------------------+---------+----------+---------+---------+------------+-----------+-----------+
| Dataset       | Method                | PPL_ori | PPL_shuf | PPL_rev | PPL_loo | Ratio_shuf | Ratio_rev | Ratio_loo |
+---------------+-----------------------+---------+----------+---------+---------+------------+-----------+-----------+
| compas        | explingo_narratives   | 7.95    | 10.01    | 10.02   | 9.11    | 0.26       | 0.26      | 0.15      |
| compas        | explingo_zero_shot    | 11.42   | 14.91    | 15.01   | 14.57   | 0.31       | 0.31      | 0.28      |
| compas        | templated_narrative   | 5.1     | 5.89     | 5.61    | 6.46    | 0.15       | 0.1       | 0.27      |
| compas        | xainarratives         | 10.9    | 12.8     | 12.65   | 12.65   | 0.17       | 0.16      | 0.16      |
| compas        | xaistories            | 9.6     | 10.85    | 11.19   | 10.88   | 0.13       | 0.17      | 0.13      |
| compas        | xaistories_narratives | 9.65    | 11.31    | 11.59   | 11.07   | 0.17       | 0.2       | 0.15      |
| diabetes      | explingo_narratives   | 8.35    | 10.67    | 11.39   | 9.68    | 0.28       | 0.36      | 0.16      |
| diabetes      | explingo_zero_shot    | 10.17   | 13.72    | 14.33   | 14.62   | 0.35       | 0.41      | 0.44      |
| diabetes      | templated_narrative   | 4.19    | 5.17     | 5.46    | 5.42    | 0.23       | 0.3       | 0.29      |
| diabetes      | xainarratives         | 12.16   | 15.25    | 15.74   | 14.47   | 0.25       | 0.29      | 0.19      |
| diabetes      | xaistories            | 7.46    | 8.83     | 9.27    | 8.65    | 0.18       | 0.24      | 0.16      |
| diabetes      | xaistories_narratives | 8.49    | 10.72    | 11.28   | 9.87    | 0.26       | 0.33      | 0.16      |
| fifa          | explingo_narratives   | 8.49    | 11.3     | 11.24   | 10.14   | 0.33       | 0.32      | 0.19      |
| fifa          | explingo_zero_shot    | 9.04    | 11.88    | 11.14   | 12.69   | 0.31       | 0.23      | 0.4       |
| fifa          | templated_narrative   | 5.3     | 5.61     | 5.95    | 6.67    | 0.06       | 0.12      | 0.26      |
| fifa          | xainarratives         | 12.19   | 15.48    | 16.59   | 14.48   | 0.27       | 0.36      | 0.19      |
| fifa          | xaistories            | 10.2    | 13.3     | 13.31   | 12.23   | 0.3        | 0.3       | 0.2       |
| fifa          | xaistories_narratives | 9.88    | 12.65    | 12.88   | 11.69   | 0.28       | 0.3       | 0.18      |
| german_credit | explingo_narratives   | 8.95    | 11.37    | 11.77   | 10.3    | 0.27       | 0.32      | 0.15      |
| german_credit | explingo_zero_shot    | 13.4    | 15.98    | 16.44   | 18.18   | 0.19       | 0.23      | 0.36      |
| german_credit | templated_narrative   | 4.48    | 5.28     | 5.17    | 5.71    | 0.18       | 0.15      | 0.27      |
| german_credit | xainarratives         | 12.59   | 14.66    | 16.1    | 14.67   | 0.16       | 0.28      | 0.17      |
| german_credit | xaistories            | 9.37    | 11.3     | 11.45   | 10.81   | 0.21       | 0.22      | 0.15      |
| german_credit | xaistories_narratives | 10.35   | 12.89    | 13.39   | 12.06   | 0.25       | 0.29      | 0.17      |
| stroke        | explingo_narratives   | 8.43    | 10.7     | 11.02   | 9.81    | 0.27       | 0.31      | 0.16      |
| stroke        | explingo_zero_shot    | 10.5    | 13.46    | 13.14   | 14.12   | 0.28       | 0.25      | 0.34      |
| stroke        | templated_narrative   | 4.33    | 5.38     | 6.25    | 5.47    | 0.24       | 0.44      | 0.26      |
| stroke        | xainarratives         | 11.09   | 14.08    | 14.04   | 13.26   | 0.27       | 0.27      | 0.2       |
| stroke        | xaistories            | 7.07    | 8.62     | 9.02    | 8.17    | 0.22       | 0.28      | 0.16      |
| stroke        | xaistories_narratives | 8.12    | 10.34    | 10.84   | 9.52    | 0.27       | 0.33      | 0.17      |
| student       | explingo_narratives   | 9.81    | 12.58    | 13.51   | 11.48   | 0.28       | 0.38      | 0.17      |
| student       | explingo_zero_shot    | 12.66   | 15.7     | 15.71   | 17.9    | 0.24       | 0.24      | 0.41      |
| student       | templated_narrative   | 5.24    | 5.98     | 5.18    | 7.27    | 0.14       | -0.01     | 0.39      |
| student       | xainarratives         | 13.64   | 17.31    | 18.86   | 16.2    | 0.27       | 0.38      | 0.19      |
| student       | xaistories            | 12.42   | 15.19    | 16.59   | 14.6    | 0.22       | 0.34      | 0.18      |
| student       | xaistories_narratives | 12.1    | 15.38    | 16.03   | 14.17   | 0.27       | 0.32      | 0.17      |
+---------------+-----------------------+---------+----------+---------+---------+------------+-----------+-----------+
