text_id_shuff,num_sentences_shuff,last_sentence_shuff,ppl_shuff
0,1,"Although the individual has previously recidivated and is identified as Black—both factors that can sometimes increase risk in predictive models—their short time spent in jail, just four months compared to the much longer average, further suggested a lower likelihood of returning to the criminal justice system.",34.47
0,2,"The most influential factor in this decision was the person’s young age of 21, which, despite often being associated with higher risk, actually contributed to lowering the predicted risk in the context of their other characteristics.",18.66
0,3,"Crucially, the absence of any prior crimes stood out, as having no criminal history is a strong signal that someone is less likely to reoffend, especially when compared to the average in the dataset.",14.87
0,4,"Altogether, the combination of a clean prior record and minimal jail time outweighed the potential risk factors, leading the model to its optimistic prediction.",13.66
0,5,"For this individual undergoing a recidivism risk assessment, the model predicted that they are not likely to be rearrested within the next two years.",11.94
1,1,"The individual’s age, being close to the average, did little to sway the prediction, but the notably short time spent in jail—just one month, far less than most—may have signaled to the model a lack of rehabilitative intervention or insufficient deterrence.",33.19
1,2,"At the heart of this prediction lies the fact that the person is not recorded as Black, a detail that, in the context of this dataset, slightly reduced the estimated risk compared to the average, possibly reflecting broader systemic patterns in the data.",23.59
1,3,"However, the absence of a prior recidivism record did not weigh heavily enough to offset other risk factors, suggesting that the model sees recidivism as influenced by more than just past behavior.",16.23
1,4,"Finally, the number of prior crimes, which is somewhat higher than average, would typically increase risk, but in this case, the model appears to have interpreted it in the context of the other features, ultimately tipping the balance toward a higher predicted likelihood of recidivism.",11.62
1,5,The model predicted that this individual is at risk of being rearrested within two years.,11.13
2,1,"Interestingly, the individual is recorded as Black, and in this context, the model appears to weigh this feature as slightly reducing the predicted risk, possibly reflecting broader patterns in the data or attempts to mitigate bias.",63.46
2,2,"Most notably, the fact that the individual has not previously recidivated would typically lower their risk, but this protective factor is counterbalanced by other elements in their profile.",29.55
2,3,"Although they have only two prior crimes—fewer than the average in the dataset—this still signals some criminal history, which the model interprets as a warning sign, especially when considered alongside their age of 34, a period often associated with persistent offending for some individuals.",19.21
2,4,"Finally, the fact that they have not spent any time in jail, despite their prior offenses, may suggest either leniency or less severe charges, but the model seems to interpret this as a factor that does not strongly offset the risk, perhaps because jail time can sometimes disrupt criminal trajectories, and its absence leaves the risk unchanged.",14.02
