text_id,sentence_index,removed_sentence,ppl_without_sentence,original_ppl,ppl_change
0,0,"For this individual undergoing a recidivism risk assessment, the model predicted that they are not likely to be rearrested within the next two years.",12.02,9.66,2.36
0,1,"The most influential factor in this decision was the person’s young age of 21, which, despite often being associated with higher risk, actually contributed to lowering the predicted risk in the context of their other characteristics.",11.48,9.66,1.81
0,2,"Crucially, the absence of any prior crimes stood out, as having no criminal history is a strong signal that someone is less likely to reoffend, especially when compared to the average in the dataset.",10.72,9.66,1.05
0,3,"Although the individual has previously recidivated and is identified as Black—both factors that can sometimes increase risk in predictive models—their short time spent in jail, just four months compared to the much longer average, further suggested a lower likelihood of returning to the criminal justice system.",10.39,9.66,0.72
0,4,"Altogether, the combination of a clean prior record and minimal jail time outweighed the potential risk factors, leading the model to its optimistic prediction.",10.25,9.66,0.59
1,0,The model predicted that this individual is at risk of being rearrested within two years.,10.97,10.04,0.93
1,1,"At the heart of this prediction lies the fact that the person is not recorded as Black, a detail that, in the context of this dataset, slightly reduced the estimated risk compared to the average, possibly reflecting broader systemic patterns in the data.",9.8,10.04,-0.24
1,2,"However, the absence of a prior recidivism record did not weigh heavily enough to offset other risk factors, suggesting that the model sees recidivism as influenced by more than just past behavior.",11.51,10.04,1.47
1,3,"The individual’s age, being close to the average, did little to sway the prediction, but the notably short time spent in jail—just one month, far less than most—may have signaled to the model a lack of rehabilitative intervention or insufficient deterrence.",11.34,10.04,1.3
1,4,"Finally, the number of prior crimes, which is somewhat higher than average, would typically increase risk, but in this case, the model appears to have interpreted it in the context of the other features, ultimately tipping the balance toward a higher predicted likelihood of recidivism.",12.96,10.04,2.92
2,0,"The model predicted that this individual is at risk of being rearrested within two years, and this outcome is shaped by a combination of their history and circumstances.",13.38,10.95,2.43
2,1,"Most notably, the fact that the individual has not previously recidivated would typically lower their risk, but this protective factor is counterbalanced by other elements in their profile.",12.47,10.95,1.52
2,2,"Although they have only two prior crimes—fewer than the average in the dataset—this still signals some criminal history, which the model interprets as a warning sign, especially when considered alongside their age of 34, a period often associated with persistent offending for some individuals.",12.55,10.95,1.6
2,3,"Interestingly, the individual is recorded as Black, and in this context, the model appears to weigh this feature as slightly reducing the predicted risk, possibly reflecting broader patterns in the data or attempts to mitigate bias.",11.34,10.95,0.39
2,4,"Finally, the fact that they have not spent any time in jail, despite their prior offenses, may suggest either leniency or less severe charges, but the model seems to interpret this as a factor that does not strongly offset the risk, perhaps because jail time can sometimes disrupt criminal trajectories, and its absence leaves the risk unchanged.",12.9,10.95,1.95
3,0,"The model predicted that this individual is not likely to be rearrested within the next two years, and several key factors shaped this outcome.",16.08,12.64,3.43
3,1,"Most notably, the individual spent a strikingly long time—181 months—in jail, which is far above what is typical; such extended incarceration often disrupts criminal networks and routines, making reoffending less likely.",15.86,12.64,3.21
3,2,"Additionally, the absence of any prior recidivism signals a history of avoiding repeated offenses, which the model interprets as a strong indicator of lower risk.",16.25,12.64,3.6
3,3,"The individual is not recorded as Black, and while this should not influence risk in an ideal world, historical data patterns in the justice system have sometimes reflected disparities that the model may have learned.",12.13,12.64,-0.51
3,4,"Finally, although the person is relatively young at 25 and has two prior offenses—both factors that might slightly increase risk—the combination of a long jail term and no prior recidivism ultimately outweighed these concerns, leading the model to its prediction.",15.36,12.64,2.71
4,0,"The model predicted that this individual is not likely to be rearrested within the next two years, despite a history that might suggest otherwise.",11.15,9.3,1.84
4,1,"The most influential factor in the assessment was the high number of prior crimes—26 in total, which is much higher than what is typical in the dataset—ordinarily, such a record would strongly increase the risk of recidivism, as repeated offenses often signal entrenched patterns of behavior.",9.42,9.3,0.12
4,2,"This risk is further underscored by the fact that the individual has already recidivated before, a detail that usually tips the scales toward a higher predicted risk.",9.9,9.3,0.6
4,3,"However, the model also considered that the individual is slightly older than average, and research often shows that as people age, their likelihood of reoffending tends to decrease, possibly due to changes in life circumstances or priorities.",11.6,9.3,2.3
4,4,"Most notably, the individual has not spent any time in jail recently, which may indicate either a period of stability or successful engagement with alternatives to incarceration, ultimately helping to offset the risk factors and leading the model to its more optimistic prediction.",9.64,9.3,0.34
5,0,"The model predicted that this individual is at risk of being rearrested within two years, and this assessment is shaped by several key aspects of their background.",9.13,8.33,0.8
5,1,"Most notably, the individual’s age of 37 stands out, as older age is often associated with a lower risk of recidivism, which may have worked in their favor, but not enough to outweigh other factors.",10.63,8.33,2.3
5,2,"Interestingly, the fact that this person has not previously recidivated and is not recorded as Black both align with characteristics that, in many datasets, are linked to a reduced likelihood of reoffending, suggesting these features may have tempered the overall risk score.",8.0,8.33,-0.34
5,3,"However, the individual’s history of three prior crimes, while slightly below the average in the dataset, still signals a pattern of criminal behavior that likely raised concern for the model.",9.34,8.33,1.0
5,4,"Finally, despite having spent only two months in jail—a relatively short period compared to others—this brief incarceration may not have provided sufficient time for rehabilitation, which, when considered alongside the other factors, contributed to the model’s decision to predict a higher risk of recidivism.",10.16,8.33,1.83
6,0,The model predicted that this individual is at risk of being rearrested within two years.,7.5,7.36,0.14
6,1,"At the heart of this prediction lies the person’s young age of 21, which, compared to the average age in the dataset, tends to be associated with a higher likelihood of recidivism—possibly because younger individuals statistically have more years ahead in which to reoffend and may have less stable life circumstances.",8.53,7.36,1.17
6,2,"However, the fact that this individual has only one prior crime, a number well below the average, actually works in their favor, suggesting a relatively limited criminal history.",8.63,7.36,1.27
6,3,"Despite this, the model also notes that the individual has previously recidivated, which can signal a pattern of reoffending that outweighs the mitigating effect of a low number of prior crimes.",8.52,7.36,1.16
6,4,"Finally, the very short time spent in jail—just one month—may not have provided enough opportunity for rehabilitation or deterrence, further nudging the prediction toward a higher risk of recidivism.",8.02,7.36,0.66
7,0,"The model predicted that this individual is at risk of recidivism, even though their age stands out as a significant protective factor—at 62, they are much older than the typical person assessed, and research consistently shows that older individuals are less likely to reoffend.",12.23,9.04,3.19
7,1,"However, despite this strong mitigating influence, the model also considered the fact that this person has no prior criminal history, which would usually lower the risk, yet it was not enough to outweigh other factors.",10.61,9.04,1.56
7,2,"The model took into account that the individual is not recorded as Black, a demographic detail that, in some datasets, has been associated with different recidivism rates, though this should be interpreted with caution due to broader social and systemic factors.",9.15,9.04,0.1
7,3,"Additionally, the absence of previous recidivism and the very short time spent in jail—just one month compared to the average—might suggest a lower risk, but these factors did not fully counterbalance the overall prediction.",9.62,9.04,0.58
7,4,"Ultimately, the model’s decision appears to hinge on complex interactions between these features, where the protective effects of age and lack of prior offenses were not sufficient to override other patterns the model has learned from the data, leading to the prediction of recidivism risk.",10.22,9.04,1.18
8,0,"The model predicted that this individual is at risk of being rearrested within two years, and this assessment is shaped by several key aspects of their background.",12.41,10.74,1.67
8,1,"Most notably, the individual’s age of 38 stands out as higher than the average in the dataset, and since younger age is often associated with higher recidivism risk, being older may have worked in their favor, but not enough to outweigh other factors.",14.52,10.74,3.77
8,2,"Their history of prior crimes is relatively modest, with only two previous offenses compared to the average, which might have lessened the perceived risk, yet the model still found other signals compelling.",11.08,10.74,0.34
8,3,"The fact that the individual is not recorded as Black and has not previously recidivated could have further reduced the risk, given that these factors are often correlated with different recidivism patterns in the data.",11.09,10.74,0.35
8,4,"However, despite having spent only a single month in jail—much less than most—the combination of these features, perhaps interacting in subtle ways, ultimately led the model to predict a higher likelihood of recidivism, suggesting that even when some risk factors are low, the overall context can tip the balance toward caution.",11.65,10.74,0.91
9,0,"The model predicted that this individual is at risk of being rearrested within two years, and the story begins with their age: at just 21, they are much younger than the average person assessed, which the model interprets as a sign of higher risk, since younger individuals statistically have a greater likelihood of recidivism.",9.74,8.25,1.49
9,1,"However, this risk is somewhat counterbalanced by the fact that the individual has no prior criminal history, a factor that typically signals a lower chance of reoffending compared to those with multiple past offenses.",10.46,8.25,2.21
9,2,"Adding to this, the individual has never recidivated before, which further suggests a lower risk, as prior recidivism is often a strong predictor of future behavior.",9.27,8.25,1.03
9,3,"The model also considered that the individual is not recorded as Black, a demographic detail that, while sensitive and controversial, has been shown in some datasets to correlate with different recidivism rates due to broader systemic factors.",7.82,8.25,-0.43
9,4,"Finally, the absence of any time spent in jail stands out, as those who have served longer sentences often face greater challenges upon release, yet despite these protective factors, the model’s overall assessment still leans toward a higher risk, likely driven by the strong influence of the individual’s young age.",8.86,8.25,0.61
10,0,"The model predicted that this individual is at risk of being rearrested within two years, and this outcome is shaped by a combination of their personal history and demographic factors.",10.38,8.97,1.41
