text_id,sentence_index,removed_sentence,ppl_without_sentence,original_ppl,ppl_change
0,0,"The model's prediction was most strongly influenced by the number of goals scored, which increased the likelihood of a player from the team receiving the 'Man of the Match' award.",20.45,8.15,12.3
0,1,"However, the number of corner kicks and the total number of passes slightly decreased this likelihood.",9.18,8.15,1.03
0,2,"The number of off-target attempts had a small positive effect, while the percentage of ball possession had a minimal negative impact on the prediction.",10.07,8.15,1.92
0,3,"Overall, scoring goals played the most significant role in the model's decision.",9.09,8.15,0.94
1,0,"The model's prediction was most strongly influenced by the fact that the team scored 1 goal, which increased the likelihood of receiving the 'Man of the Match' award.",26.74,10.43,16.31
1,1,"However, having 2 corner kicks and 189 total passes slightly decreased the chances.",11.56,10.43,1.13
1,2,"The 5 off-target attempts contributed a small positive effect, while the team's 28% ball possession had a minimal negative impact on the prediction.",11.77,10.43,1.34
1,3,"Overall, scoring a goal was the most significant positive factor in the model's decision.",12.25,10.43,1.82
2,0,"The model's prediction was most strongly influenced by the number of goals scored, which increased the likelihood of a player from the team receiving the 'Man of the Match' award.",22.88,9.79,13.09
2,1,"However, having more corner kicks and a higher number of passes slightly decreased this likelihood.",10.7,9.79,0.91
2,2,"Additionally, more off-target attempts had a small positive effect, while ball possession percentage had a minimal negative impact on the prediction.",10.97,9.79,1.18
2,3,"Overall, scoring goals played the most significant role in the model's decision.",11.27,9.79,1.48
3,0,"The model's prediction was most strongly influenced by the team scoring one goal, which increased the likelihood of a player receiving the 'Man of the Match' award.",24.67,11.57,13.1
3,1,"However, having one corner kick slightly decreased the chances.",11.9,11.57,0.33
3,2,"The team also had six off-target attempts, which contributed a small positive effect.",12.52,11.57,0.95
3,3,The total number of passes (281) and ball possession percentage (40%) both had minor negative impacts on the prediction.,14.12,11.57,2.55
3,4,"Overall, scoring a goal was the most significant positive factor in the model's decision.",13.86,11.57,2.3
4,0,The model predicts that the team will not receive the 'Man of the Match' award for its player.,9.32,7.89,1.42
4,1,"The main reason for this prediction is that the team did not score any goals, which had a strong negative impact.",12.53,7.89,4.63
4,2,"Although the team had a high ball possession percentage (64%), this only slightly increased the chances.",8.41,7.89,0.52
4,3,"Other factors, such as the number of corner kicks (5), total passes (433), and off-target attempts (6), had minor positive or negative effects, but none were enough to outweigh the negative impact of not scoring any goals.",11.89,7.89,4.0
5,0,"The model predicts that the team is less likely to have a player win the 'Man of the Match' award mainly because they did not score any goals, which had the largest negative impact on the prediction.",25.86,10.68,15.18
5,1,"Although the team had 7 corner kicks and 7 off-target attempts, these factors only slightly increased the chances.",12.26,10.68,1.58
5,2,The high number of passes and a ball possession rate of 48% both contributed slightly negatively to the prediction.,11.22,10.68,0.54
5,3,"Overall, not scoring goals was the most significant reason for the lower likelihood of receiving the award.",12.07,10.68,1.38
6,0,"The model predicts that the team is less likely to have a player win the 'Man of the Match' award mainly because they did not score any goals, which had the largest negative impact on the prediction.",20.9,9.65,11.25
6,1,"Although the team had 5 corner kicks and 5 off-target attempts, these contributed only slightly in favor of winning the award.",10.77,9.65,1.11
6,2,The total number of passes and a ball possession rate of 44% also had small negative effects on the prediction.,10.92,9.65,1.27
6,3,"Overall, the lack of goals was the most significant factor in the model's decision.",11.53,9.65,1.87
7,0,"The model's prediction was most strongly influenced by the team scoring a goal, which increased the likelihood of a player receiving the 'Man of the Match' award.",30.09,12.03,18.05
7,1,"However, having one corner kick slightly decreased the chances.",12.05,12.03,0.01
7,2,"Five off-target attempts contributed a small positive effect, while the total number of passes and the percentage of ball possession had minor negative impacts on the prediction.",13.53,12.03,1.5
7,3,"Overall, scoring a goal was the most significant positive factor in the model's decision.",14.85,12.03,2.82
8,0,"The model's prediction was most strongly influenced by the number of goals scored, which had a negative impact on the likelihood of a player from the team receiving the 'Man of the Match' award.",14.19,7.49,6.7
8,1,"The high number of passes contributed positively, but to a lesser extent.",8.18,7.49,0.69
8,2,The number of corner kicks and off-target attempts also had small positive effects.,7.49,7.49,0.0
8,3,The percentage of ball possession had a slight negative influence on the prediction.,7.9,7.49,0.42
8,4,"Overall, the low number of goals scored was the main reason the model predicted that a player from this team would not receive the award.",9.14,7.49,1.66
