id,text,reversed_text,shuffled_text,num_sentences,ppl,ppl_reversed,ppl_shuffled,ppl_diff_reversed,ppl_diff_shuffled,ppl_ratio_reversed,ppl_ratio_shuffled,ppl_loo_mean,ppl_loo_std,ppl_loo_min,ppl_loo_max,ppl_cumulative_slope,ppl_cumulative_mean,ppl_cumulative_std,ppl_cumulative_first,ppl_cumulative_last,ppl_cumulative_rev_slope,ppl_cumulative_rev_mean,ppl_cumulative_rev_std,ppl_cumulative_rev_first,ppl_cumulative_rev_last,ppl_cumulative_shuff_slope,ppl_cumulative_shuff_mean,ppl_cumulative_shuff_std,ppl_cumulative_shuff_first,ppl_cumulative_shuff_last
0,"The model predicts the risk of recidivism for this individual by considering several factors. Being 21 years old slightly decreases the predicted risk. Having no prior crimes increases the risk a bit. Having recidivated before actually lowers the risk in this case. Being recorded as Black also slightly decreases the risk. Finally, spending 4 months in jail has a small negative effect on the predicted risk. Overall, these factors combine to influence the model’s assessment of the likelihood that this person will be rearrested within two years.","Overall, these factors combine to influence the model’s assessment of the likelihood that this person will be rearrested within two years. Finally, spending 4 months in jail has a small negative effect on the predicted risk. Being recorded as Black also slightly decreases the risk. Having recidivated before actually lowers the risk in this case. Having no prior crimes increases the risk a bit. Being 21 years old slightly decreases the predicted risk. The model predicts the risk of recidivism for this individual by considering several factors.","Being 21 years old slightly decreases the predicted risk. Having recidivated before actually lowers the risk in this case. Being recorded as Black also slightly decreases the risk. Having no prior crimes increases the risk a bit. Overall, these factors combine to influence the model’s assessment of the likelihood that this person will be rearrested within two years. The model predicts the risk of recidivism for this individual by considering several factors. Finally, spending 4 months in jail has a small negative effect on the predicted risk.",7,9.56,14.34,14.75,4.78,5.19,1.5,1.54,11.02,1.5,9.39,14.22,-3.741,18.35,7.95,33.66,9.56,-1.0209,18.77,2.47,21.65,14.34,-23.9469,58.73,54.26,176.11,14.75
1,"The model predicts the risk of recidivism for this individual based on several factors. The fact that the individual is not recorded as Black decreases the predicted risk by 0.1129. Not having recidivated before also lowers the risk by 0.0923. The individual's age of 34 reduces the risk by 0.0851. Spending 1 month in jail decreases the risk by 0.0510. However, having committed 5 prior crimes increases the predicted risk by 0.0505. Overall, these factors combine to influence the model's assessment of the individual's likelihood of being rearrested within two years.","Overall, these factors combine to influence the model's assessment of the individual's likelihood of being rearrested within two years. However, having committed 5 prior crimes increases the predicted risk by 0.0505. Spending 1 month in jail decreases the risk by 0.0510. The individual's age of 34 reduces the risk by 0.0851. Not having recidivated before also lowers the risk by 0.0923. The fact that the individual is not recorded as Black decreases the predicted risk by 0.1129. The model predicts the risk of recidivism for this individual based on several factors.","The fact that the individual is not recorded as Black decreases the predicted risk by 0.1129. The individual's age of 34 reduces the risk by 0.0851. Spending 1 month in jail decreases the risk by 0.0510. Not having recidivated before also lowers the risk by 0.0923. Overall, these factors combine to influence the model's assessment of the individual's likelihood of being rearrested within two years. The model predicts the risk of recidivism for this individual based on several factors. However, having committed 5 prior crimes increases the predicted risk by 0.0505.",7,7.88,9.63,10.02,1.74,2.13,1.22,1.27,8.81,0.57,8.23,9.8,-2.928,13.62,6.37,26.37,7.88,-2.3431,14.88,4.91,22.64,9.63,-6.4835,20.81,16.99,61.4,10.02
2,"The model predicts the risk of recidivism for this individual based on several factors. The fact that the individual has not previously recidivated lowers their predicted risk the most. Having two prior crimes and being 34 years old both increase the predicted risk, but to a lesser extent. The individual being recorded as Black slightly decreases the predicted risk, while having spent no months in jail also contributes to a higher risk prediction. Overall, the absence of prior recidivism is the most significant factor reducing the estimated risk.","Overall, the absence of prior recidivism is the most significant factor reducing the estimated risk. The individual being recorded as Black slightly decreases the predicted risk, while having spent no months in jail also contributes to a higher risk prediction. Having two prior crimes and being 34 years old both increase the predicted risk, but to a lesser extent. The fact that the individual has not previously recidivated lowers their predicted risk the most. The model predicts the risk of recidivism for this individual based on several factors.","The individual being recorded as Black slightly decreases the predicted risk, while having spent no months in jail also contributes to a higher risk prediction. The fact that the individual has not previously recidivated lowers their predicted risk the most. Having two prior crimes and being 34 years old both increase the predicted risk, but to a lesser extent. Overall, the absence of prior recidivism is the most significant factor reducing the estimated risk. The model predicts the risk of recidivism for this individual based on several factors.",5,9.86,13.44,14.14,3.57,4.28,1.36,1.43,12.35,1.97,9.41,15.03,-3.7146,14.51,6.21,26.37,9.86,-6.3555,24.35,9.79,34.37,13.44,-17.0369,35.41,28.17,89.69,14.14
3,"The model predicts the risk of recidivism for this individual by considering several factors. Spending 181 months in jail decreases the predicted risk, as does being 25 years old. The fact that the individual has not recidivated before and is not recorded as Black both slightly increase the predicted risk, but to a lesser extent. Additionally, having two prior crimes also contributes to a small increase in the predicted risk. Overall, the time spent in jail and the individual's age are the most significant factors reducing the risk, while the other features have smaller positive contributions.","Overall, the time spent in jail and the individual's age are the most significant factors reducing the risk, while the other features have smaller positive contributions. Additionally, having two prior crimes also contributes to a small increase in the predicted risk. The fact that the individual has not recidivated before and is not recorded as Black both slightly increase the predicted risk, but to a lesser extent. Spending 181 months in jail decreases the predicted risk, as does being 25 years old. The model predicts the risk of recidivism for this individual by considering several factors.","Additionally, having two prior crimes also contributes to a small increase in the predicted risk. Spending 181 months in jail decreases the predicted risk, as does being 25 years old. The fact that the individual has not recidivated before and is not recorded as Black both slightly increase the predicted risk, but to a lesser extent. Overall, the time spent in jail and the individual's age are the most significant factors reducing the risk, while the other features have smaller positive contributions. The model predicts the risk of recidivism for this individual by considering several factors.",5,11.03,15.2,14.73,4.17,3.69,1.38,1.33,13.5,0.78,12.44,14.8,-5.8643,20.17,8.67,33.66,11.03,-5.8126,23.92,8.64,38.24,15.2,-15.7156,34.63,25.36,82.76,14.73
4,"The model predicts the risk of recidivism for this individual by considering several factors. Having 26 prior crimes and a history of recidivism both decrease the predicted risk, with the number of prior crimes having the largest negative impact. The individual's age of 36 slightly increases the risk, as does having spent no time in jail. Being recorded as Black has a small negative effect on the predicted risk. Overall, the factors that most reduce the predicted risk are the high number of prior crimes and previous recidivism, while age and lack of jail time slightly increase it.","Overall, the factors that most reduce the predicted risk are the high number of prior crimes and previous recidivism, while age and lack of jail time slightly increase it. Being recorded as Black has a small negative effect on the predicted risk. The individual's age of 36 slightly increases the risk, as does having spent no time in jail. Having 26 prior crimes and a history of recidivism both decrease the predicted risk, with the number of prior crimes having the largest negative impact. The model predicts the risk of recidivism for this individual by considering several factors.","Being recorded as Black has a small negative effect on the predicted risk. Having 26 prior crimes and a history of recidivism both decrease the predicted risk, with the number of prior crimes having the largest negative impact. The individual's age of 36 slightly increases the risk, as does having spent no time in jail. Overall, the factors that most reduce the predicted risk are the high number of prior crimes and previous recidivism, while age and lack of jail time slightly increase it. The model predicts the risk of recidivism for this individual by considering several factors.",5,8.7,10.63,10.47,1.93,1.77,1.22,1.2,11.35,1.23,9.19,12.92,-5.5886,16.61,8.95,33.66,8.7,-7.0025,21.11,10.26,38.0,10.63,-20.0045,33.53,35.64,104.14,10.47
5,"The model predicts the risk of recidivism for this individual based on several key factors. The person's age of 37 years lowers the predicted risk the most. Additionally, the fact that the individual has not recidivated before and is not recorded as Black both contribute to a lower risk. Having three prior crimes increases the risk somewhat, but not as much as the protective factors. Finally, spending two months in jail has a smaller effect, slightly increasing the predicted risk. Overall, the model's prediction is most influenced by age, prior recidivism, and race, with prior crimes and jail time playing smaller roles.","Overall, the model's prediction is most influenced by age, prior recidivism, and race, with prior crimes and jail time playing smaller roles. Finally, spending two months in jail has a smaller effect, slightly increasing the predicted risk. Having three prior crimes increases the risk somewhat, but not as much as the protective factors. Additionally, the fact that the individual has not recidivated before and is not recorded as Black both contribute to a lower risk. The person's age of 37 years lowers the predicted risk the most. The model predicts the risk of recidivism for this individual based on several key factors.","Having three prior crimes increases the risk somewhat, but not as much as the protective factors. The person's age of 37 years lowers the predicted risk the most. Additionally, the fact that the individual has not recidivated before and is not recorded as Black both contribute to a lower risk. Finally, spending two months in jail has a smaller effect, slightly increasing the predicted risk. The model predicts the risk of recidivism for this individual based on several key factors. Overall, the model's prediction is most influenced by age, prior recidivism, and race, with prior crimes and jail time playing smaller roles.",6,8.76,12.49,13.12,3.73,4.37,1.43,1.5,11.36,1.07,10.14,13.24,-3.587,16.7,6.33,26.35,8.76,-2.8889,18.86,5.01,26.12,12.49,-15.725,39.68,30.63,102.99,13.12
6,"The model predicts the risk of recidivism for this individual by considering several factors. Being 21 years old slightly decreases the predicted risk, while having one prior crime slightly increases it. Having previously recidivated actually lowers the risk prediction a bit, as does being recorded as Black. Spending one month in jail slightly increases the predicted risk. Overall, these factors combine to inform the model's estimate of the likelihood that this person will be rearrested within two years.","Overall, these factors combine to inform the model's estimate of the likelihood that this person will be rearrested within two years. Spending one month in jail slightly increases the predicted risk. Having previously recidivated actually lowers the risk prediction a bit, as does being recorded as Black. Being 21 years old slightly decreases the predicted risk, while having one prior crime slightly increases it. The model predicts the risk of recidivism for this individual by considering several factors.","Spending one month in jail slightly increases the predicted risk. Being 21 years old slightly decreases the predicted risk, while having one prior crime slightly increases it. Having previously recidivated actually lowers the risk prediction a bit, as does being recorded as Black. Overall, these factors combine to inform the model's estimate of the likelihood that this person will be rearrested within two years. The model predicts the risk of recidivism for this individual by considering several factors.",5,11.86,13.73,14.3,1.87,2.44,1.16,1.21,14.8,2.8,11.01,19.19,-4.6497,19.69,7.4,33.66,11.86,-1.6025,18.34,3.28,18.7,13.73,-39.403,57.76,74.23,205.88,14.3
7,"The model predicts the risk of recidivism for this individual based on several factors. The person's age (62 years old) is the most influential factor, significantly lowering the predicted risk. Having no prior crimes also reduces the risk. Additionally, the individual is not recorded as Black, which slightly decreases the risk according to the model. The fact that the person has not recidivated before further lowers the risk. Finally, spending only one month in jail has a small effect in reducing the predicted risk. Overall, these factors together contribute to a lower estimated likelihood of rearrest within two years.","Overall, these factors together contribute to a lower estimated likelihood of rearrest within two years. Finally, spending only one month in jail has a small effect in reducing the predicted risk. The fact that the person has not recidivated before further lowers the risk. Additionally, the individual is not recorded as Black, which slightly decreases the risk according to the model. Having no prior crimes also reduces the risk. The person's age (62 years old) is the most influential factor, significantly lowering the predicted risk. The model predicts the risk of recidivism for this individual based on several factors.","The person's age (62 years old) is the most influential factor, significantly lowering the predicted risk. Additionally, the individual is not recorded as Black, which slightly decreases the risk according to the model. The fact that the person has not recidivated before further lowers the risk. Having no prior crimes also reduces the risk. Overall, these factors together contribute to a lower estimated likelihood of rearrest within two years. The model predicts the risk of recidivism for this individual based on several factors. Finally, spending only one month in jail has a small effect in reducing the predicted risk.",7,8.93,13.44,13.03,4.51,4.1,1.51,1.46,10.14,1.13,9.11,12.51,-2.5456,14.07,5.66,26.37,8.93,-5.3018,25.27,11.48,49.31,13.44,-3.7145,20.8,8.13,38.01,13.03
8,"The model predicts the risk of recidivism for this individual based on several factors. The person's age of 38 years contributed the most to the prediction, slightly increasing the estimated risk. Having two prior crimes also raised the risk, but to a lesser extent. The fact that the individual is not recorded as Black and has not recidivated before both contributed to lowering the predicted risk. Additionally, spending only one month in jail had a small effect, slightly increasing the risk. Overall, these factors combined to inform the model's assessment of the likelihood of rearrest within two years.","Overall, these factors combined to inform the model's assessment of the likelihood of rearrest within two years. Additionally, spending only one month in jail had a small effect, slightly increasing the risk. The fact that the individual is not recorded as Black and has not recidivated before both contributed to lowering the predicted risk. Having two prior crimes also raised the risk, but to a lesser extent. The person's age of 38 years contributed the most to the prediction, slightly increasing the estimated risk. The model predicts the risk of recidivism for this individual based on several factors.","The fact that the individual is not recorded as Black and has not recidivated before both contributed to lowering the predicted risk. The person's age of 38 years contributed the most to the prediction, slightly increasing the estimated risk. Having two prior crimes also raised the risk, but to a lesser extent. Additionally, spending only one month in jail had a small effect, slightly increasing the risk. The model predicts the risk of recidivism for this individual based on several factors. Overall, these factors combined to inform the model's assessment of the likelihood of rearrest within two years.",6,11.22,14.85,14.29,3.63,3.07,1.32,1.27,12.99,1.63,10.83,15.87,-2.957,16.5,5.4,26.37,11.22,-4.3977,24.84,7.59,37.31,14.85,-9.4763,28.78,19.66,71.16,14.29
9,"The model predicts the risk of recidivism for this individual by considering several factors. Being 21 years old slightly decreases the predicted risk. Having no prior crimes, not having recidivated before, not being recorded as Black, and having spent no months in jail all contribute to a higher predicted risk, but each only increases the risk by a small amount. Overall, the individual's young age lowers the risk, while the lack of prior offenses and other factors slightly increase it.","Overall, the individual's young age lowers the risk, while the lack of prior offenses and other factors slightly increase it. Having no prior crimes, not having recidivated before, not being recorded as Black, and having spent no months in jail all contribute to a higher predicted risk, but each only increases the risk by a small amount. Being 21 years old slightly decreases the predicted risk. The model predicts the risk of recidivism for this individual by considering several factors.","Having no prior crimes, not having recidivated before, not being recorded as Black, and having spent no months in jail all contribute to a higher predicted risk, but each only increases the risk by a small amount. Being 21 years old slightly decreases the predicted risk. Overall, the individual's young age lowers the risk, while the lack of prior offenses and other factors slightly increase it. The model predicts the risk of recidivism for this individual by considering several factors.",4,11.89,15.97,14.62,4.08,2.73,1.34,1.23,15.81,1.96,13.56,18.39,-7.7865,21.31,9.01,33.66,11.89,-10.4956,26.81,13.42,49.67,15.97,-3.878,19.82,4.38,26.31,14.62
10,"The model predicts the risk of recidivism for this individual based on several factors. The most influential factor is the number of prior crimes committed, which increases the predicted risk. The fact that the individual has not recidivated before and is not recorded as Black both contribute to lowering the risk. The individual's age of 36 also slightly reduces the risk, as does having spent no months in jail. Overall, the prediction is shaped by a combination of these features, with prior criminal history having the largest impact.","Overall, the prediction is shaped by a combination of these features, with prior criminal history having the largest impact. The individual's age of 36 also slightly reduces the risk, as does having spent no months in jail. The fact that the individual has not recidivated before and is not recorded as Black both contribute to lowering the risk. The most influential factor is the number of prior crimes committed, which increases the predicted risk. The model predicts the risk of recidivism for this individual based on several factors.","The individual's age of 36 also slightly reduces the risk, as does having spent no months in jail. The most influential factor is the number of prior crimes committed, which increases the predicted risk. The fact that the individual has not recidivated before and is not recorded as Black both contribute to lowering the risk. Overall, the prediction is shaped by a combination of these features, with prior criminal history having the largest impact. The model predicts the risk of recidivism for this individual based on several factors.",5,10.28,12.66,14.98,2.38,4.69,1.23,1.46,12.52,1.85,10.83,15.97,-3.2908,14.64,5.93,26.37,10.28,-4.8097,20.82,6.92,30.84,12.66,-10.9732,29.75,18.28,65.36,14.98
11,"The model predicts the risk of recidivism for this individual based on several factors. Being 42 years old increases the predicted risk the most, followed by having one prior crime, which also raises the risk. Interestingly, having previously recidivated, spending 17 months in jail, and being recorded as Black all slightly decrease the predicted risk according to the model.","Interestingly, having previously recidivated, spending 17 months in jail, and being recorded as Black all slightly decrease the predicted risk according to the model. Being 42 years old increases the predicted risk the most, followed by having one prior crime, which also raises the risk. The model predicts the risk of recidivism for this individual based on several factors.","Being 42 years old increases the predicted risk the most, followed by having one prior crime, which also raises the risk. The model predicts the risk of recidivism for this individual based on several factors. Interestingly, having previously recidivated, spending 17 months in jail, and being recorded as Black all slightly decrease the predicted risk according to the model.",3,13.74,19.3,18.81,5.56,5.08,1.4,1.37,20.7,3.69,15.87,24.82,-6.3191,18.66,5.52,26.37,13.74,-23.3567,37.46,20.44,66.01,19.3,-15.9295,31.28,13.9,50.67,18.81
12,"The model predicts the risk of recidivism for this individual based on several factors. The fact that the individual has not recidivated before lowers their predicted risk. Being 23 years old also slightly decreases the risk. However, having spent no months in jail and having two prior crimes both increase the predicted risk. Additionally, the individual is not recorded as Black, which slightly increases the risk according to the model. Overall, these factors combine to influence the model's estimate of the likelihood that the individual will be rearrested within two years.","Overall, these factors combine to influence the model's estimate of the likelihood that the individual will be rearrested within two years. Additionally, the individual is not recorded as Black, which slightly increases the risk according to the model. However, having spent no months in jail and having two prior crimes both increase the predicted risk. Being 23 years old also slightly decreases the risk. The fact that the individual has not recidivated before lowers their predicted risk. The model predicts the risk of recidivism for this individual based on several factors.","However, having spent no months in jail and having two prior crimes both increase the predicted risk. The fact that the individual has not recidivated before lowers their predicted risk. Being 23 years old also slightly decreases the risk. Additionally, the individual is not recorded as Black, which slightly increases the risk according to the model. The model predicts the risk of recidivism for this individual based on several factors. Overall, these factors combine to influence the model's estimate of the likelihood that the individual will be rearrested within two years.",6,9.43,12.69,13.52,3.27,4.1,1.35,1.43,10.93,1.56,9.4,14.14,-2.7481,14.46,5.56,26.37,9.43,-1.3334,17.35,2.95,17.52,12.69,-30.3295,58.68,64.65,199.59,13.52
13,"The model predicts the risk of recidivism for this individual based on several factors. Having no prior crimes increases the predicted risk by 0.1463, and not having recidivated before adds 0.1072 to the risk. Spending no time in jail contributes an additional 0.0799 to the risk. The individual's age of 24 slightly decreases the risk by 0.0776. Finally, being recorded as not Black increases the risk by 0.0753. Overall, the absence of prior crimes and recidivism history, as well as the individual's demographic information, are the main factors influencing the prediction.","Overall, the absence of prior crimes and recidivism history, as well as the individual's demographic information, are the main factors influencing the prediction. Finally, being recorded as not Black increases the risk by 0.0753. The individual's age of 24 slightly decreases the risk by 0.0776. Spending no time in jail contributes an additional 0.0799 to the risk. Having no prior crimes increases the predicted risk by 0.1463, and not having recidivated before adds 0.1072 to the risk. The model predicts the risk of recidivism for this individual based on several factors.","The individual's age of 24 slightly decreases the risk by 0.0776. Having no prior crimes increases the predicted risk by 0.1463, and not having recidivated before adds 0.1072 to the risk. Spending no time in jail contributes an additional 0.0799 to the risk. Finally, being recorded as not Black increases the risk by 0.0753. The model predicts the risk of recidivism for this individual based on several factors. Overall, the absence of prior crimes and recidivism history, as well as the individual's demographic information, are the main factors influencing the prediction.",6,8.66,11.3,10.03,2.64,1.37,1.3,1.16,10.36,1.42,8.87,12.97,-3.0854,14.1,5.94,26.37,8.66,-3.6461,19.61,6.74,25.52,11.3,-9.6301,24.76,20.94,70.7,10.03
14,"The model predicts the risk of recidivism for this individual by considering several factors. Spending 33 months in jail and having previously recidivated both decrease the predicted risk. On the other hand, having committed 3 prior crimes and being 34 years old slightly increase the risk. Additionally, being recorded as Black slightly decreases the predicted risk. Overall, the largest reductions in risk come from the time spent in jail and prior recidivism, while prior crimes and age contribute modestly to an increased risk.","Overall, the largest reductions in risk come from the time spent in jail and prior recidivism, while prior crimes and age contribute modestly to an increased risk. Additionally, being recorded as Black slightly decreases the predicted risk. On the other hand, having committed 3 prior crimes and being 34 years old slightly increase the risk. Spending 33 months in jail and having previously recidivated both decrease the predicted risk. The model predicts the risk of recidivism for this individual by considering several factors.","Additionally, being recorded as Black slightly decreases the predicted risk. Spending 33 months in jail and having previously recidivated both decrease the predicted risk. On the other hand, having committed 3 prior crimes and being 34 years old slightly increase the risk. Overall, the largest reductions in risk come from the time spent in jail and prior recidivism, while prior crimes and age contribute modestly to an increased risk. The model predicts the risk of recidivism for this individual by considering several factors.",5,10.37,14.44,12.76,4.08,2.39,1.39,1.23,13.81,2.09,10.26,16.62,-6.1934,20.82,9.3,33.66,10.37,-5.3788,23.08,8.23,32.53,14.44,-67.3308,88.35,118.5,321.75,12.76
