text_id,num_sentences,last_sentence,ppl
0,1,"The model predicts the risk of stroke for this individual primarily based on their age, which at 78 years old, significantly increases the predicted risk.",23.85
0,2,"The person's average glucose level, BMI, and lack of hypertension all have very minimal effects, slightly decreasing the risk.",19.32
0,3,Gender does not contribute to the prediction in this case.,16.3
0,4,"Overall, age is the most influential factor driving the model's assessment of stroke risk for this individual.",12.91
1,1,The model considered several factors to predict the risk of stroke for this individual.,57.93
1,2,"The patient's age of 51 slightly decreased the predicted risk, as did their average glucose level of 98.41.",28.26
1,3,Their body mass index of 32.10 contributed a small increase to the risk.,17.5
1,4,"Not having hypertension slightly reduced the risk, and the patient's gender (male) had a negligible effect on the prediction.",12.54
2,1,The model predicts this individual's risk of stroke by considering several factors from their health records.,48.68
2,2,Being 39 years old and having no hypertension both slightly decrease the predicted risk.,32.81
2,3,The person's average glucose level and gender have almost no effect on the prediction.,22.94
2,4,"However, a higher body mass index (BMI) slightly increases the risk.",15.11
2,5,"Overall, age and BMI are the most influential factors in this prediction, with age reducing and BMI increasing the estimated risk.",11.61
3,1,The model considered several factors to predict the risk of stroke for this individual.,57.93
3,2,"The patient's age of 52 slightly decreased the predicted risk, as did their average glucose level of 101.30.",27.32
3,3,Their body mass index (BMI) of 33.10 contributed a small increase to the risk.,14.67
3,4,"Not having hypertension slightly reduced the risk, and the patient's gender (female) had a negligible effect on the prediction.",11.07
3,5,"Overall, each factor had only a minor influence on the model's final risk assessment.",10.51
4,1,"The model predicts the risk of stroke for this individual primarily based on their age, which increases the risk.",31.93
4,2,"The person's average glucose level and body mass index have very small effects, slightly lowering and slightly raising the risk, respectively.",18.36
4,3,Not having hypertension and being male have almost no impact on the prediction.,17.34
4,4,"Overall, age is the most significant factor influencing the model's assessment of stroke risk in this case.",13.43
5,1,The model predicts a low risk of stroke for this individual.,49.12
5,2,"The most significant factor lowering the risk is the patient's age of 8 years, which greatly reduces the likelihood of stroke.",14.16
5,3,"Additionally, the patient's low Body Mass Index (BMI) of 18.40, low average glucose level of 65.32, and absence of hypertension all contribute slightly to lowering the risk.",9.4
5,4,The patient's gender (female) does not have a meaningful impact on the prediction.,7.89
6,1,The model predicts a low risk of stroke for this individual.,49.12
6,2,"The main reason for this is the patient's young age, which significantly reduces the predicted risk.",12.98
6,3,"Additionally, the patient's low BMI, low average glucose level, and absence of hypertension all contribute slightly to lowering the risk.",9.66
6,4,Gender does not have a meaningful impact on the prediction in this case.,8.94
7,1,The model predicts a lower risk of stroke for this individual.,52.66
7,2,"The most significant factor reducing the risk is the patient's age of 17, which strongly decreases the predicted risk.",16.37
7,3,A low body mass index (BMI) of 19.50 and a low average glucose level of 81.51 also contribute slightly to lowering the risk.,11.25
7,4,The absence of hypertension and the patient's gender (female) have minimal to no effect on the prediction.,9.08
8,1,The model predicts the risk of stroke for this individual by considering several factors.,47.31
8,2,The patient's age of 70 contributes significantly to increasing the predicted risk.,22.21
8,3,"The average glucose level of 69.04 and a BMI of 35.90 have very small effects, with the glucose level slightly decreasing the risk and the BMI slightly increasing it.",14.72
8,4,"The fact that the patient does not have hypertension slightly lowers the risk, and the patient's gender (female) has a negligible effect on the prediction.",9.79
8,5,"Overall, age is the most influential factor in this prediction.",9.21
9,1,The model predicts the risk of stroke for this individual by considering several factors.,47.31
9,2,"The patient's age of 8 years has the largest negative impact on the predicted risk, significantly lowering it.",18.46
9,3,A low Body Mass Index (BMI) of 16.10 and an average glucose level of 118.66 also slightly decrease the risk.,13.72
9,4,"The absence of hypertension further reduces the risk, though only by a small amount.",10.87
9,5,The patient's gender (male) does not have any noticeable effect on the prediction.,8.95
9,6,"Overall, these factors combine to suggest a lower risk of stroke for this individual.",7.76
10,1,The model predicts a low risk of stroke for this individual.,49.12
10,2,"The patient's age of 6 years has the largest negative impact on the risk, significantly lowering it.",18.68
10,3,Their Body Mass Index (BMI) of 20.30 and average glucose level of 70.78 also slightly reduce the risk.,14.39
10,4,"Additionally, the absence of hypertension further decreases the risk, while the patient's gender (male) does not have a meaningful effect on the prediction.",9.62
11,1,The model considered several factors to predict the risk of stroke for this individual.,57.93
11,2,"The patient's age of 53 slightly decreased the predicted risk, as did their average glucose level of 94.78.",27.04
11,3,Their body mass index of 30.10 contributed a small increase to the risk.,16.82
11,4,"Not having hypertension slightly reduced the risk, and the patient's gender (female) had a negligible effect on the prediction.",12.18
12,1,The model predicts the risk of stroke for this individual by considering several factors.,47.31
12,2,The patient's age of 41 reduces the predicted risk the most.,24.53
12,3,Their average glucose level of 92.49 and the absence of hypertension also slightly decrease the risk.,21.58
12,4,"On the other hand, a high body mass index (BMI) of 41.60 slightly increases the risk.",12.35
12,5,The patient's gender (male) has a negligible effect on the prediction.,9.7
12,6,"Overall, age is the most influential factor in lowering the predicted risk in this case.",8.72
13,1,The model predicts a low risk of stroke for this individual.,49.12
13,2,The patient's young age (9 years old) is the most significant factor lowering the risk.,17.61
13,3,"Additionally, a healthy body mass index (BMI of 20), a normal average glucose level (81.18), and the absence of hypertension all contribute slightly to reducing the risk.",12.95
13,4,The patient's gender (female) does not have a meaningful impact on the prediction.,9.96
14,1,The model predicts the risk of stroke for this individual by considering several factors.,47.31
14,2,"The patient's age of 39 years reduces the predicted risk, as indicated by a negative contribution.",21.16
14,3,"Their average glucose level of 55.28 slightly increases the risk, while a BMI of 31.50 has a very small positive effect.",17.68
14,4,"The fact that the patient does not have hypertension slightly lowers the risk, and being female does not have a noticeable impact on the prediction.",11.6
14,5,"Overall, age is the most influential factor in lowering the predicted risk for this individual.",10.21
15,1,The model considered several factors to predict the risk of stroke for this individual.,57.93
15,2,"The patient's age of 46 slightly decreased the predicted risk, while their BMI of 29.30 had a very small positive effect, slightly increasing the risk.",19.74
15,3,The average glucose level of 137.77 contributed a small decrease to the risk.,17.18
15,4,"Not having hypertension had a negligible effect in lowering the risk, and being male did not influence the prediction.",14.5
15,5,"Overall, the most influential factor was age, which reduced the predicted risk the most.",12.55
16,1,The model predicts a lower risk of stroke for this individual.,52.66
16,2,The patient's age of 36 contributes the most to reducing the predicted risk.,20.45
16,3,Their average glucose level of 100.33 and BMI of 23.20 also slightly decrease the risk.,17.48
16,4,"Not having hypertension has a very small negative effect on the risk, and the patient's gender (female) does not influence the prediction.",11.88
17,1,The model considered several factors to predict the risk of stroke for this individual.,57.93
17,2,"The patient's age of 46 slightly decreased the predicted risk, while their Body Mass Index (BMI) of 28.30 had a very small positive effect, slightly increasing the risk.",15.51
