text_id_shuff,num_sentences_shuff,last_sentence_shuff,ppl_shuff
0,1,Gender does not contribute to the prediction in this case.,90.09
0,2,"The person's average glucose level, BMI, and lack of hypertension all have very minimal effects, slightly decreasing the risk.",42.0
0,3,"Overall, age is the most influential factor driving the model's assessment of stroke risk for this individual.",26.54
0,4,"The model predicts the risk of stroke for this individual primarily based on their age, which at 78 years old, significantly increases the predicted risk.",15.43
1,1,Their body mass index of 32.10 contributed a small increase to the risk.,63.67
1,2,"The patient's age of 51 slightly decreased the predicted risk, as did their average glucose level of 98.41.",26.15
1,3,"Not having hypertension slightly reduced the risk, and the patient's gender (male) had a negligible effect on the prediction.",15.76
1,4,The model considered several factors to predict the risk of stroke for this individual.,15.12
2,1,"However, a higher body mass index (BMI) slightly increases the risk.",16.25
2,2,Being 39 years old and having no hypertension both slightly decrease the predicted risk.,24.38
2,3,The person's average glucose level and gender have almost no effect on the prediction.,20.0
2,4,"Overall, age and BMI are the most influential factors in this prediction, with age reducing and BMI increasing the estimated risk.",14.18
2,5,The model predicts this individual's risk of stroke by considering several factors from their health records.,14.91
3,1,"Not having hypertension slightly reduced the risk, and the patient's gender (female) had a negligible effect on the prediction.",37.89
3,2,"The patient's age of 52 slightly decreased the predicted risk, as did their average glucose level of 101.30.",20.7
3,3,Their body mass index (BMI) of 33.10 contributed a small increase to the risk.,13.38
3,4,"Overall, each factor had only a minor influence on the model's final risk assessment.",12.95
3,5,The model considered several factors to predict the risk of stroke for this individual.,12.16
4,1,Not having hypertension and being male have almost no impact on the prediction.,128.64
4,2,"The person's average glucose level and body mass index have very small effects, slightly lowering and slightly raising the risk, respectively.",29.87
4,3,"Overall, age is the most significant factor influencing the model's assessment of stroke risk in this case.",21.34
4,4,"The model predicts the risk of stroke for this individual primarily based on their age, which increases the risk.",15.35
5,1,"Additionally, the patient's low Body Mass Index (BMI) of 18.40, low average glucose level of 65.32, and absence of hypertension all contribute slightly to lowering the risk.",21.64
5,2,"The most significant factor lowering the risk is the patient's age of 8 years, which greatly reduces the likelihood of stroke.",12.58
5,3,The patient's gender (female) does not have a meaningful impact on the prediction.,10.23
5,4,The model predicts a low risk of stroke for this individual.,9.18
6,1,"Additionally, the patient's low BMI, low average glucose level, and absence of hypertension all contribute slightly to lowering the risk.",35.57
6,2,"The main reason for this is the patient's young age, which significantly reduces the predicted risk.",17.76
6,3,Gender does not have a meaningful impact on the prediction in this case.,14.43
6,4,The model predicts a low risk of stroke for this individual.,12.56
7,1,A low body mass index (BMI) of 19.50 and a low average glucose level of 81.51 also contribute slightly to lowering the risk.,22.51
7,2,"The most significant factor reducing the risk is the patient's age of 17, which strongly decreases the predicted risk.",16.07
7,3,The absence of hypertension and the patient's gender (female) have minimal to no effect on the prediction.,12.59
7,4,The model predicts a lower risk of stroke for this individual.,11.69
8,1,"The fact that the patient does not have hypertension slightly lowers the risk, and the patient's gender (female) has a negligible effect on the prediction.",20.24
8,2,The patient's age of 70 contributes significantly to increasing the predicted risk.,14.24
8,3,"The average glucose level of 69.04 and a BMI of 35.90 have very small effects, with the glucose level slightly decreasing the risk and the BMI slightly increasing it.",11.57
8,4,"Overall, age is the most influential factor in this prediction.",10.7
8,5,The model predicts the risk of stroke for this individual by considering several factors.,11.13
9,1,"The absence of hypertension further reduces the risk, though only by a small amount.",31.48
9,2,"The patient's age of 8 years has the largest negative impact on the predicted risk, significantly lowering it.",22.18
9,3,A low Body Mass Index (BMI) of 16.10 and an average glucose level of 118.66 also slightly decrease the risk.,16.21
