id,text,ppl
0,"For the instance 644, the model predicted bad credit risk: Purpose (Purpose of the loan) is the most important feature and has a positive influence on the prediction, Credit amount (Amount of credit requested) is the second most important feature and has a positive influence on the prediction, Age (Age of the applicant) is the third most important feature and has a positive influence on the prediction, Checking account (Status of the applicant's checking account) is the 4th most important feature and has a positive influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the 5th most important feature and has a positive influence on the prediction.",4.45
1,"For the instance 261, the model predicted bad credit risk: Age (Age of the applicant) is the most important feature and has a positive influence on the prediction, Credit amount (Amount of credit requested) is the second most important feature and has a positive influence on the prediction, Purpose (Purpose of the loan) is the third most important feature and has a positive influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the 4th most important feature and has a positive influence on the prediction, Sex (Gender of the applicant) is the 5th most important feature and has a negative influence on the prediction.",4.05
2,"For the instance 314, the model predicted bad credit risk: Duration (Duration of the loan in months) is the most important feature and has a positive influence on the prediction, Credit amount (Amount of credit requested) is the second most important feature and has a positive influence on the prediction, Age (Age of the applicant) is the third most important feature and has a negative influence on the prediction, Purpose (Purpose of the loan) is the 4th most important feature and has a negative influence on the prediction, Sex (Gender of the applicant) is the 5th most important feature and has a positive influence on the prediction.",3.91
3,"For the instance 55, the model predicted bad credit risk: Duration (Duration of the loan in months) is the most important feature and has a positive influence on the prediction, Purpose (Purpose of the loan) is the second most important feature and has a negative influence on the prediction, Age (Age of the applicant) is the third most important feature and has a negative influence on the prediction, Credit amount (Amount of credit requested) is the 4th most important feature and has a negative influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the 5th most important feature and has a positive influence on the prediction.",4.31
4,"For the instance 716, the model predicted bad credit risk: Age (Age of the applicant) is the most important feature and has a positive influence on the prediction, Purpose (Purpose of the loan) is the second most important feature and has a positive influence on the prediction, Credit amount (Amount of credit requested) is the third most important feature and has a positive influence on the prediction, Duration (Duration of the loan in months) is the 4th most important feature and has a negative influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the 5th most important feature and has a positive influence on the prediction.",4.28
5,"For the instance 39, the model predicted bad credit risk: Age (Age of the applicant) is the most important feature and has a negative influence on the prediction, Purpose (Purpose of the loan) is the second most important feature and has a positive influence on the prediction, Duration (Duration of the loan in months) is the third most important feature and has a positive influence on the prediction, Checking account (Status of the applicant's checking account) is the 4th most important feature and has a negative influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the 5th most important feature and has a positive influence on the prediction.",4.27
6,"For the instance 351, the model predicted bad credit risk: Duration (Duration of the loan in months) is the most important feature and has a positive influence on the prediction, Age (Age of the applicant) is the second most important feature and has a negative influence on the prediction, Checking account (Status of the applicant's checking account) is the third most important feature and has a negative influence on the prediction, Sex (Gender of the applicant) is the 4th most important feature and has a negative influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the 5th most important feature and has a positive influence on the prediction.",4.38
7,"For the instance 513, the model predicted good credit risk: Age (Age of the applicant) is the most important feature and has a negative influence on the prediction, Purpose (Purpose of the loan) is the second most important feature and has a positive influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the third most important feature and has a negative influence on the prediction, Duration (Duration of the loan in months) is the 4th most important feature and has a positive influence on the prediction, Credit amount (Amount of credit requested) is the 5th most important feature and has a positive influence on the prediction.",4.35
8,"For the instance 677, the model predicted good credit risk: Duration (Duration of the loan in months) is the most important feature and has a negative influence on the prediction, Age (Age of the applicant) is the second most important feature and has a negative influence on the prediction, Checking account (Status of the applicant's checking account) is the third most important feature and has a negative influence on the prediction, Purpose (Purpose of the loan) is the 4th most important feature and has a positive influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the 5th most important feature and has a positive influence on the prediction.",4.29
9,"For the instance 800, the model predicted bad credit risk: Age (Age of the applicant) is the most important feature and has a positive influence on the prediction, Housing (Housing status (Own, Rent, etc.)) is the second most important feature and has a negative influence on the prediction, Credit amount (Amount of credit requested) is the third most important feature and has a positive influence on the prediction, Purpose (Purpose of the loan) is the 4th most important feature and has a negative influence on the prediction, Checking account (Status of the applicant's checking account) is the 5th most important feature and has a positive influence on the prediction.",4.25
