text_id,sentence_index,removed_sentence,ppl_without_sentence,original_ppl,ppl_change
0,0,"The model predicted that the A team would have a player win the Man of the Match award, and this outcome was most strongly influenced by the team’s ability to score goals—netting 2 goals, which is higher than the typical match average, likely drew attention to standout individual performances.",12.52,9.32,3.2
0,1,"Interestingly, the relatively low number of corner kicks taken by the team may have slightly counted against them, as teams that dominate set-piece opportunities often control the game’s tempo and create more chances for star players to shine.",9.73,9.32,0.41
0,2,"The team’s four off-target attempts, while not exceptional, suggest a willingness to take risks and keep the opposition under pressure, which can sometimes highlight a player’s influence even if not every shot is on target.",10.3,9.32,0.98
0,3,"However, the team completed fewer passes and had less ball possession than average, indicating they may have played a more direct or counter-attacking style rather than controlling the game through sustained possession.",10.89,9.32,1.57
0,4,"Despite these factors, it was likely the decisive goals and the impact of key moments that tipped the prediction in favor of an A team player being recognized as Man of the Match, as goal-scoring often leaves the strongest impression on both fans and award panels.",10.15,9.32,0.83
1,0,"The model predicted that the A team would have a player win the Man of the Match award, and this outcome was most strongly influenced by the team’s ability to score a goal, which is often a decisive factor in individual recognition, even though their tally of one goal was slightly below the tournament average.",13.67,8.84,4.82
1,1,"Interestingly, the relatively low number of corners taken by the A team may have worked against them, as teams that create more set-piece opportunities often demonstrate attacking dominance, but in this case, the impact was outweighed by other factors.",9.84,8.84,1.0
1,2,"The team’s five off-target attempts suggest they were active in attack, keeping the opposition under pressure, which can help a standout player emerge even if not every shot is on target.",8.71,8.84,-0.14
1,3,"However, the A team completed far fewer passes and had much less ball possession than average, indicating they played a more direct or counter-attacking style rather than controlling the game through possession.",10.34,8.84,1.49
1,4,"Despite these disadvantages, the model recognized that a standout individual performance—perhaps a decisive goal or a series of impactful plays—can shine through even when a team is not dominant in traditional metrics like possession or passing, leading to the prediction of a Man of the Match award.",10.08,8.84,1.24
2,0,The model predicted that the A team would have a player receive the Man of the Match award.,14.03,10.88,3.14
2,1,"This decision was most strongly influenced by the number of goals scored, as scoring even a single goal is often a decisive factor in earning individual recognition, especially when goals are rare and valuable in football.",15.93,10.88,5.05
2,2,"However, the team had fewer corner kicks than average, which slightly worked against the prediction, perhaps suggesting less attacking pressure or fewer set-piece opportunities, but this was outweighed by the impact of the goal.",13.13,10.88,2.25
2,3,"The number of off-target attempts was close to typical, indicating the team was active in attack, which can also draw attention to standout individual performances.",11.13,10.88,0.25
2,4,"While the team’s passing and ball possession were both slightly above average, these factors played a smaller role, but they may have contributed to the overall impression of control and involvement, supporting the case for a player to be singled out for the award.",13.58,10.88,2.7
3,0,The model predicted that the A team would have a player receive the Man of the Match award.,13.52,10.99,2.52
3,1,"This outcome was most strongly influenced by the number of goals scored, as scoring even a single goal can be decisive in a match and often draws attention to standout performers, even though the team scored slightly below the tournament average.",17.67,10.99,6.68
3,2,"On the other hand, the relatively low number of corner kicks and passes compared to typical match statistics might have suggested less overall attacking play and ball control, but these factors were outweighed by the impact of the goal.",12.47,10.99,1.47
3,3,"The team also had a high number of off-target attempts, which, while not resulting in goals, could indicate an aggressive attacking approach that keeps the opposition under pressure and highlights individual effort.",12.98,10.99,1.99
3,4,"Although their ball possession was lower than average, sometimes a team can shine through efficiency and key moments rather than dominating possession, which may have helped a particular player stand out and secure the award.",10.84,10.99,-0.15
4,0,The model predicted that the A team would not have a player receive the Man of the Match award.,12.62,10.65,1.97
4,1,"The most influential factor in this decision was that the team did not score any goals, which is a significant departure from the typical performance and often a key driver for individual recognition in football.",15.04,10.65,4.4
4,2,"Despite dominating ball possession with 64%, well above the average, this control did not translate into the kind of decisive moments—like goals—that usually catch the eye of award selectors.",10.56,10.65,-0.09
4,3,"The team also earned a slightly above-average number of corners and completed a high number of passes, but these efforts likely seemed less impactful without a tangible result on the scoreboard.",12.65,10.65,2.0
4,4,"Even though they had a fair number of off-target attempts, the lack of goals overshadowed these efforts, suggesting that while the team played actively, they ultimately failed to produce the standout moments that lead to individual accolades.",12.75,10.65,2.11
5,0,The model predicted that the A team was not likely to have a player win the Man of the Match award in this football match.,12.17,10.97,1.2
5,1,"The most influential factor in this decision was that the team did not score any goals, which is a significant setback since goals are often the most visible and celebrated contributions in a match.",15.4,10.97,4.42
5,2,"While the team did manage to earn seven corners—well above the typical average—this attacking pressure did not translate into goals, which likely diminished the impact of their efforts.",11.24,10.97,0.27
5,3,"Their passing game was strong, with 484 passes completed, but without goals, even a high number of passes can seem less decisive in the eyes of those selecting the standout player.",11.12,10.97,0.15
5,4,"Although the team also had a fair number of off-target attempts and maintained average ball possession, these factors were not enough to outweigh the lack of goals, which is often the key to individual recognition in football.",13.37,10.97,2.4
6,0,The model predicted that the A team would not have a player receive the Man of the Match award in this football match.,8.83,7.89,0.94
6,1,"The most influential factor in this decision was that the team did not score any goals, which is a significant setback since goals are often the most visible and celebrated contributions in a match.",11.31,7.89,3.42
6,2,"While the team did manage to earn five corners—slightly above the average—this alone was not enough to sway the prediction, as corners are opportunities rather than direct achievements.",8.99,7.89,1.09
6,3,"The team also completed a high number of passes, suggesting good ball movement, but this did not compensate for the lack of goals, especially since their ball possession was slightly below average, indicating they may not have controlled the game.",10.48,7.89,2.59
6,4,"Ultimately, despite some positive aspects like passing and corners, the absence of goals likely overshadowed these efforts, as goal-scoring is typically the most decisive factor in earning individual accolades in football.",8.68,7.89,0.79
7,0,The model predicted that the A team would have a player receive the Man of the Match award.,15.27,11.61,3.66
7,1,"This outcome was most strongly influenced by the number of goals scored, as scoring even a single goal can be decisive in a match and often draws attention to standout performers, even though the team scored slightly below the tournament average.",16.25,11.61,4.64
7,2,"Interestingly, the relatively low number of corner kicks worked against the prediction, since teams that dominate and create more attacking opportunities—often reflected in higher corner counts—tend to have players recognized for their impact.",13.49,11.61,1.88
7,3,"The number of off-target attempts, which was close to the average, contributed positively, perhaps suggesting that the team was active in attack and kept the opposition under pressure, a quality that can highlight individual efforts.",13.42,11.61,1.81
7,4,"Although the team had fewer passes and less ball possession than typical, these factors played a smaller role, indicating that the model valued decisive moments and attacking intent over overall control in this particular prediction.",12.37,11.61,0.76
8,0,The model predicted that the A team would not have a player receive the Man of the Match award.,14.99,12.31,2.68
8,1,"This outcome was heavily influenced by the fact that the team did not score any goals, which is a significant factor since standout performances often involve goal contributions.",17.88,12.31,5.57
8,2,"Despite the team completing an impressive 698 passes—far above the typical match average—this high passing count alone was not enough to sway the prediction, perhaps because it did not translate into decisive moments or goals.",13.43,12.31,1.12
8,3,"The team also earned five corners and made seven off-target attempts, both slightly above average, suggesting they were active in attack but ultimately lacked the clinical edge needed to produce a match-winning performance.",14.08,12.31,1.77
8,4,"Even though A team dominated possession with 57%, this control did not result in the kind of impactful play that usually earns individual accolades, highlighting that possession and effort must be matched by tangible results to secure such recognition.",12.61,12.31,0.3
9,0,The model predicted that the A team would not have a player receive the Man of the Match award in this football match.,10.54,8.3,2.23
9,1,"The most influential factor in this decision was that the team did not score any goals, which is a significant setback since goals are often the most visible and celebrated contributions in a match.",11.07,8.3,2.77
9,2,"While the team did win a high number of corners, suggesting they were able to create attacking opportunities, this alone was not enough to outweigh the lack of goals.",9.61,8.3,1.31
9,3,"Their total number of passes was right around the tournament average, indicating a solid but not exceptional control of play, and their ball possession was slightly above average, showing they held the ball more than their opponents but perhaps without making it count on the scoreboard.",8.34,8.3,0.04
9,4,"Despite a reasonable number of off-target attempts, the absence of goals likely overshadowed these efforts, leading the model to conclude that no standout individual performance from the A team merited the Man of the Match recognition.",9.73,8.3,1.43
10,0,"The model predicted that the A team would have a player receive the Man of the Match award, and this outcome was most strongly influenced by the number of goals scored.",12.98,9.22,3.76
10,1,"Scoring a goal is often the most decisive factor in football, and although the A team scored just one goal—slightly below the tournament average—this goal may have been particularly crucial or memorable, which can sway the award decision.",10.33,9.22,1.11
10,2,"The next most influential factor was the high number of corner kicks earned by the A team, with 10 corners indicating sustained attacking pressure and opportunities to create dangerous moments, which often draw attention to standout individual performances.",10.27,9.22,1.05
10,3,"The team also had more off-target attempts than average, suggesting an aggressive approach in attack, which, while not always resulting in goals, can highlight a player’s influence and activity on the field.",10.16,9.22,0.94
10,4,"Although the A team had fewer passes and less ball possession than typical, their direct and assertive style may have allowed a key player to shine in pivotal moments, ultimately leading to the Man of the Match recognition.",10.98,9.22,1.76
11,0,"The model predicted that the A team would have a player receive the Man of the Match award, and the story behind this prediction starts with their remarkable goal-scoring performance: netting 5 goals, far surpassing the typical match average.",23.49,12.79,10.69
11,1,"This offensive firepower is often a decisive factor in individual accolades, as standout goal contributions tend to draw attention from award selectors.",14.0,12.79,1.21
11,2,"The team also earned 6 corner kicks, which not only reflects their attacking intent but likely provided more opportunities to create dangerous moments and showcase individual brilliance.",15.17,12.79,2.38
11,3,"Although their off-target attempts were slightly below average, this may suggest that their shots were more efficient or that their goals came from high-quality chances, further highlighting the impact of key players.",14.04,12.79,1.25
11,4,"Despite having fewer passes and less ball possession than average, the team's ability to convert limited opportunities into goals likely made their standout performers impossible to overlook for the Man of the Match honor.",15.06,12.79,2.26
12,0,The model predicted that the A team would not have a player receive the Man of the Match award.,11.97,8.92,3.05
12,1,"This outcome was most strongly influenced by the fact that the team failed to score any goals, a critical factor since standout performances are often linked to goal-scoring contributions.",12.63,8.92,3.72
12,2,"Additionally, the team had only one corner kick and completed significantly fewer passes than average, both of which suggest limited attacking opportunities and less control over the game.",10.93,8.92,2.01
12,3,"While the team did manage four off-target attempts, this alone was not enough to offset the lack of goals or overall possession.",9.77,8.92,0.85
12,4,"With just 34% ball possession, well below the typical average, it appears the A team struggled to assert themselves, making it unlikely for any individual to shine enough to earn the award.",10.13,8.92,1.22
13,0,"The model predicted that the A team would have a player win the Man of the Match award, and this outcome was strongly influenced by the team’s impressive goal-scoring performance, as they netted 2 goals—well above the typical match average.",19.21,12.13,7.08
13,1,"This attacking success was further supported by their high number of corner kicks, with 5 corners indicating sustained offensive pressure and frequent threats near the opponent’s goal.",12.12,12.13,-0.01
