id,text,reversed_text,shuffled_text,num_sentences,ppl,ppl_reversed,ppl_shuffled,ppl_diff_reversed,ppl_diff_shuffled,ppl_ratio_reversed,ppl_ratio_shuffled,ppl_loo_mean,ppl_loo_std,ppl_loo_min,ppl_loo_max,ppl_cumulative_slope,ppl_cumulative_mean,ppl_cumulative_std,ppl_cumulative_first,ppl_cumulative_last,ppl_cumulative_rev_slope,ppl_cumulative_rev_mean,ppl_cumulative_rev_std,ppl_cumulative_rev_first,ppl_cumulative_rev_last,ppl_cumulative_shuff_slope,ppl_cumulative_shuff_mean,ppl_cumulative_shuff_std,ppl_cumulative_shuff_first,ppl_cumulative_shuff_last
0,"The model's prediction was influenced most by the purpose of the loan, which was for radio or TV, contributing positively to the assessment. The amount of credit requested, which was 1880, also played a significant role. The applicant's age of 32, having a little amount in their checking account, and owning their housing further contributed to the model's decision, though to a lesser extent.","The applicant's age of 32, having a little amount in their checking account, and owning their housing further contributed to the model's decision, though to a lesser extent. The amount of credit requested, which was 1880, also played a significant role. The model's prediction was influenced most by the purpose of the loan, which was for radio or TV, contributing positively to the assessment.","The amount of credit requested, which was 1880, also played a significant role. The model's prediction was influenced most by the purpose of the loan, which was for radio or TV, contributing positively to the assessment. The applicant's age of 32, having a little amount in their checking account, and owning their housing further contributed to the model's decision, though to a lesser extent.",3,19.19,21.07,21.65,1.87,2.46,1.1,1.13,27.72,1.98,26.17,30.52,-24.6781,39.42,21.11,68.55,19.19,-9.4175,29.15,7.92,39.9,21.07,-15.6588,36.6,12.83,52.97,21.65
1,"The model's prediction was most strongly influenced by the applicant's age of 55, which increased the likelihood of being classified as a good credit risk. Requesting a credit amount of 1603 and applying for a loan with the purpose of buying a radio or TV also contributed positively to the prediction. Additionally, owning their housing slightly increased the chance of being seen as a good credit risk. However, being female had a small negative impact on the prediction.","However, being female had a small negative impact on the prediction. Additionally, owning their housing slightly increased the chance of being seen as a good credit risk. Requesting a credit amount of 1603 and applying for a loan with the purpose of buying a radio or TV also contributed positively to the prediction. The model's prediction was most strongly influenced by the applicant's age of 55, which increased the likelihood of being classified as a good credit risk.","Additionally, owning their housing slightly increased the chance of being seen as a good credit risk. Requesting a credit amount of 1603 and applying for a loan with the purpose of buying a radio or TV also contributed positively to the prediction. However, being female had a small negative impact on the prediction. The model's prediction was most strongly influenced by the applicant's age of 55, which increased the likelihood of being classified as a good credit risk.",4,13.24,15.07,15.68,1.83,2.44,1.14,1.18,17.72,5.29,13.41,26.73,-2.7279,17.31,3.06,21.57,13.24,-11.4439,31.5,12.81,49.36,15.07,-17.7613,37.28,20.83,70.76,15.68
2,"The model's prediction was most strongly influenced by the duration of the loan, with a longer loan duration (4 months) increasing the likelihood of being classified as a 'bad' credit risk. The amount of credit requested (1494) also contributed to a higher risk classification, though to a lesser extent. The applicant's age (29) and the purpose of the loan (car) both slightly decreased the risk, making the applicant appear more favorable. Finally, being male had a small positive effect on the risk classification, slightly increasing the likelihood of being considered a 'bad' credit risk.","Finally, being male had a small positive effect on the risk classification, slightly increasing the likelihood of being considered a 'bad' credit risk. The applicant's age (29) and the purpose of the loan (car) both slightly decreased the risk, making the applicant appear more favorable. The amount of credit requested (1494) also contributed to a higher risk classification, though to a lesser extent. The model's prediction was most strongly influenced by the duration of the loan, with a longer loan duration (4 months) increasing the likelihood of being classified as a 'bad' credit risk.","The applicant's age (29) and the purpose of the loan (car) both slightly decreased the risk, making the applicant appear more favorable. The amount of credit requested (1494) also contributed to a higher risk classification, though to a lesser extent. Finally, being male had a small positive effect on the risk classification, slightly increasing the likelihood of being considered a 'bad' credit risk. The model's prediction was most strongly influenced by the duration of the loan, with a longer loan duration (4 months) increasing the likelihood of being classified as a 'bad' credit risk.",4,7.43,9.11,9.19,1.69,1.76,1.23,1.24,9.55,1.48,8.17,11.88,-2.7518,11.33,3.09,15.72,7.43,-5.9022,16.71,6.82,27.45,9.11,-6.6983,17.55,7.73,29.68,9.19
3,"The model predicts the applicant's credit risk by considering several factors. The duration of the loan (6 months) increases the likelihood of being classified as a good credit risk. The fact that the loan is for a car, the applicant's age (26), and the requested credit amount (783) each slightly decrease the likelihood of being seen as a good credit risk. However, owning their housing slightly increases the chances of being classified as a good credit risk.","However, owning their housing slightly increases the chances of being classified as a good credit risk. The fact that the loan is for a car, the applicant's age (26), and the requested credit amount (783) each slightly decrease the likelihood of being seen as a good credit risk. The duration of the loan (6 months) increases the likelihood of being classified as a good credit risk. The model predicts the applicant's credit risk by considering several factors.","The fact that the loan is for a car, the applicant's age (26), and the requested credit amount (783) each slightly decrease the likelihood of being seen as a good credit risk. The duration of the loan (6 months) increases the likelihood of being classified as a good credit risk. However, owning their housing slightly increases the chances of being classified as a good credit risk. The model predicts the applicant's credit risk by considering several factors.",4,10.14,11.23,11.66,1.08,1.52,1.11,1.15,13.2,2.41,10.75,16.16,-14.5748,24.17,18.61,55.71,10.14,-15.1364,24.81,20.15,59.4,11.23,-3.1317,14.25,4.5,22.03,11.66
4,"The model predicts this applicant as a 'good' credit risk mainly because of their age (40 years old), which contributes positively to the prediction. The purpose of the loan being for radio/TV and the applicant's request for a credit amount of 3077 also add to the likelihood of being considered a good risk. Additionally, owning their housing status has a smaller positive effect. However, the duration of the loan (30 months) slightly decreases the probability of being classified as a good credit risk. Overall, the positive factors outweigh the negative, leading to a favorable prediction.","Overall, the positive factors outweigh the negative, leading to a favorable prediction. However, the duration of the loan (30 months) slightly decreases the probability of being classified as a good credit risk. Additionally, owning their housing status has a smaller positive effect. The purpose of the loan being for radio/TV and the applicant's request for a credit amount of 3077 also add to the likelihood of being considered a good risk. The model predicts this applicant as a 'good' credit risk mainly because of their age (40 years old), which contributes positively to the prediction.","However, the duration of the loan (30 months) slightly decreases the probability of being classified as a good credit risk. The purpose of the loan being for radio/TV and the applicant's request for a credit amount of 3077 also add to the likelihood of being considered a good risk. Additionally, owning their housing status has a smaller positive effect. Overall, the positive factors outweigh the negative, leading to a favorable prediction. The model predicts this applicant as a 'good' credit risk mainly because of their age (40 years old), which contributes positively to the prediction.",5,14.25,16.72,19.58,2.48,5.34,1.17,1.37,17.54,4.36,12.59,23.65,-4.3855,23.09,6.6,32.33,14.25,-2.5266,22.22,5.02,30.43,16.72,-1.9997,25.72,3.72,29.64,19.58
5,"The model considered several factors in its prediction. The applicant's age of 24 slightly decreased their credit risk score. Taking a loan for the purpose of radio/TV purchases and having a loan duration of 9 months both contributed to a higher credit risk score. Having a moderate checking account status slightly reduced the risk, while owning their housing provided a small positive contribution to their creditworthiness.","Having a moderate checking account status slightly reduced the risk, while owning their housing provided a small positive contribution to their creditworthiness. Taking a loan for the purpose of radio/TV purchases and having a loan duration of 9 months both contributed to a higher credit risk score. The applicant's age of 24 slightly decreased their credit risk score. The model considered several factors in its prediction.","Taking a loan for the purpose of radio/TV purchases and having a loan duration of 9 months both contributed to a higher credit risk score. The applicant's age of 24 slightly decreased their credit risk score. Having a moderate checking account status slightly reduced the risk, while owning their housing provided a small positive contribution to their creditworthiness. The model considered several factors in its prediction.",4,23.02,30.6,25.14,7.58,2.12,1.33,1.09,29.34,3.92,26.17,35.84,-30.9196,56.27,36.78,114.43,23.02,-18.6708,48.22,24.19,89.46,30.6,-6.4208,31.02,8.4,45.35,25.14
6,"The model predicts the applicant's credit risk by considering several factors. The duration of the loan (9 months) increases the likelihood of being classified as a 'good' credit risk. However, the applicant's age (29 years), having a moderate checking account status, being female, and owning their housing each slightly decrease the likelihood of being considered a 'good' credit risk. Overall, the loan duration has the most significant positive impact on the prediction.","Overall, the loan duration has the most significant positive impact on the prediction. However, the applicant's age (29 years), having a moderate checking account status, being female, and owning their housing each slightly decrease the likelihood of being considered a 'good' credit risk. The duration of the loan (9 months) increases the likelihood of being classified as a 'good' credit risk. The model predicts the applicant's credit risk by considering several factors.","However, the applicant's age (29 years), having a moderate checking account status, being female, and owning their housing each slightly decrease the likelihood of being considered a 'good' credit risk. The duration of the loan (9 months) increases the likelihood of being classified as a 'good' credit risk. Overall, the loan duration has the most significant positive impact on the prediction. The model predicts the applicant's credit risk by considering several factors.",4,12.06,14.22,13.37,2.16,1.31,1.18,1.11,16.53,3.78,13.45,22.93,-13.7511,25.31,17.81,55.71,12.06,-12.4312,27.28,14.91,51.1,14.22,-6.9907,19.81,9.46,36.14,13.37
7,"The model considered several factors in making its prediction. The applicant's age of 20 had the largest negative impact on the prediction, making it less likely they would be classified as a good credit risk. Applying for a loan with the purpose of radio/TV contributed positively, slightly increasing the likelihood of being seen as a good credit risk. Renting their housing had a small negative effect. The loan duration of 12 months and the requested credit amount of 585 both contributed positively, but only to a minor extent. Overall, the applicant's young age and renting status weighed against them, while the loan purpose, duration, and amount provided small positive influences.","Overall, the applicant's young age and renting status weighed against them, while the loan purpose, duration, and amount provided small positive influences. The loan duration of 12 months and the requested credit amount of 585 both contributed positively, but only to a minor extent. Renting their housing had a small negative effect. Applying for a loan with the purpose of radio/TV contributed positively, slightly increasing the likelihood of being seen as a good credit risk. The applicant's age of 20 had the largest negative impact on the prediction, making it less likely they would be classified as a good credit risk. The model considered several factors in making its prediction.","Renting their housing had a small negative effect. The applicant's age of 20 had the largest negative impact on the prediction, making it less likely they would be classified as a good credit risk. Applying for a loan with the purpose of radio/TV contributed positively, slightly increasing the likelihood of being seen as a good credit risk. The loan duration of 12 months and the requested credit amount of 585 both contributed positively, but only to a minor extent. The model considered several factors in making its prediction. Overall, the applicant's young age and renting status weighed against them, while the loan purpose, duration, and amount provided small positive influences.",6,10.89,12.49,12.75,1.6,1.86,1.15,1.17,13.88,3.18,11.54,20.79,-10.2271,25.27,24.43,79.7,10.89,-8.1925,26.6,16.01,60.01,12.49,-34.8487,57.14,86.06,249.31,12.75
8,"The model predicts this applicant as a 'bad' credit risk mainly because they are applying for a relatively long loan duration (72 months), which has the largest negative impact on the prediction. The applicant's young age (24 years old) and having only a moderate checking account status also contribute negatively, though to a lesser extent. On the other hand, the purpose of the loan (for radio/TV) and owning their housing provide small positive contributions, but these are not enough to outweigh the negative factors.","On the other hand, the purpose of the loan (for radio/TV) and owning their housing provide small positive contributions, but these are not enough to outweigh the negative factors. The applicant's young age (24 years old) and having only a moderate checking account status also contribute negatively, though to a lesser extent. The model predicts this applicant as a 'bad' credit risk mainly because they are applying for a relatively long loan duration (72 months), which has the largest negative impact on the prediction.","The applicant's young age (24 years old) and having only a moderate checking account status also contribute negatively, though to a lesser extent. The model predicts this applicant as a 'bad' credit risk mainly because they are applying for a relatively long loan duration (72 months), which has the largest negative impact on the prediction. On the other hand, the purpose of the loan (for radio/TV) and owning their housing provide small positive contributions, but these are not enough to outweigh the negative factors.",3,13.54,18.7,16.33,5.15,2.78,1.38,1.21,19.4,2.66,16.9,23.08,-6.5334,19.02,5.54,26.61,13.54,-11.3506,28.94,9.4,41.4,18.7,-16.9224,29.45,14.82,50.17,16.33
9,"The model predicts the applicant's credit risk by considering several factors. The applicant's age of 54 increases the likelihood of being classified as a good credit risk. Having 'free' housing slightly decreases this likelihood. Requesting a credit amount of 1597 also contributes positively to the prediction. However, applying for a loan with the purpose of 'education' slightly reduces the chance of being seen as a good credit risk. Lastly, having 'little' in the checking account provides a small positive contribution to the prediction.","Lastly, having 'little' in the checking account provides a small positive contribution to the prediction. However, applying for a loan with the purpose of 'education' slightly reduces the chance of being seen as a good credit risk. Requesting a credit amount of 1597 also contributes positively to the prediction. Having 'free' housing slightly decreases this likelihood. The applicant's age of 54 increases the likelihood of being classified as a good credit risk. The model predicts the applicant's credit risk by considering several factors.","Requesting a credit amount of 1597 also contributes positively to the prediction. The applicant's age of 54 increases the likelihood of being classified as a good credit risk. Having 'free' housing slightly decreases this likelihood. However, applying for a loan with the purpose of 'education' slightly reduces the chance of being seen as a good credit risk. The model predicts the applicant's credit risk by considering several factors. Lastly, having 'little' in the checking account provides a small positive contribution to the prediction.",6,13.04,18.86,17.82,5.82,4.78,1.45,1.37,15.97,3.19,11.66,20.15,-6.8746,25.81,14.34,55.71,13.04,-15.7107,41.27,36.4,122.05,18.86,-26.3687,54.51,58.98,184.1,17.82
