text_id_rev,num_sentences_rev,last_sentence_rev,ppl_rev
0,1,Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction.,47.93
0,2,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction.,13.52
0,3,Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction.,7.84
0,4,Age (Age of the individual) is the most important feature and has a negative influence on the prediction.,5.52
0,5,"For this instance, the model predicted not to recidivate.",5.89
1,1,Months_in_jail (Number of months spent in jail) is the 4th most important feature and has a positive influence on the prediction.,25.46
1,2,Age (Age of the individual) is the third most important feature and has a positive influence on the prediction.,9.46
1,3,Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction.,6.14
1,4,Black (Indicator if the individual is recorded as Black) is the most important feature and has a positive influence on the prediction.,4.9
1,5,"For this instance, the model predicted to recidivate.",5.49
2,1,Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction.,47.93
2,2,Age (Age of the individual) is the third most important feature and has a positive influence on the prediction.,12.51
2,3,Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction.,7.26
2,4,Recidivated (Indicator if the individual has recidivated before) is the most important feature and has a positive influence on the prediction.,5.44
2,5,"For this instance, the model predicted to recidivate.",5.85
3,1,Age (Age of the individual) is the 4th most important feature and has a negative influence on the prediction.,21.04
3,2,Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction.,10.32
3,3,Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction.,5.99
3,4,Months_in_jail (Number of months spent in jail) is the most important feature and has a negative influence on the prediction.,4.74
3,5,"For this instance, the model predicted not to recidivate.",5.14
4,1,Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction.,47.93
4,2,Age (Age of the individual) is the third most important feature and has a positive influence on the prediction.,12.51
4,3,Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a negative influence on the prediction.,6.95
4,4,Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a negative influence on the prediction.,5.4
4,5,"For this instance, the model predicted not to recidivate.",5.75
5,1,Number_of_prior_crimes (Number of prior crimes committed) is the 4th most important feature and has a positive influence on the prediction.,22.7
5,2,Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction.,11.64
5,3,Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction.,6.69
5,4,Age (Age of the individual) is the most important feature and has a positive influence on the prediction.,4.91
5,5,"For this instance, the model predicted to recidivate.",5.44
6,1,Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction.,47.93
6,2,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction.,13.52
6,3,Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction.,7.84
6,4,Age (Age of the individual) is the most important feature and has a negative influence on the prediction.,5.52
6,5,"For this instance, the model predicted to recidivate.",6.02
7,1,Recidivated (Indicator if the individual has recidivated before) is the 4th most important feature and has a positive influence on the prediction.,38.73
7,2,Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction.,11.99
7,3,Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction.,7.28
7,4,Age (Age of the individual) is the most important feature and has a positive influence on the prediction.,5.28
7,5,"For this instance, the model predicted to recidivate.",5.8
8,1,Recidivated (Indicator if the individual has recidivated before) is the 4th most important feature and has a positive influence on the prediction.,38.73
8,2,Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction.,11.99
8,3,Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction.,7.28
8,4,Age (Age of the individual) is the most important feature and has a positive influence on the prediction.,5.28
8,5,"For this instance, the model predicted to recidivate.",5.8
9,1,Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a positive influence on the prediction.,46.62
9,2,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a positive influence on the prediction.,13.41
9,3,Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction.,7.7
9,4,Age (Age of the individual) is the most important feature and has a negative influence on the prediction.,5.53
9,5,"For this instance, the model predicted to recidivate.",6.03
10,1,Age (Age of the individual) is the 4th most important feature and has a positive influence on the prediction.,20.18
10,2,Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction.,10.09
10,3,Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction.,5.87
10,4,Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a positive influence on the prediction.,4.78
10,5,"For this instance, the model predicted to recidivate.",5.26
11,1,Months_in_jail (Number of months spent in jail) is the 4th most important feature and has a negative influence on the prediction.,26.89
11,2,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction.,11.61
11,3,Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction.,6.58
11,4,Age (Age of the individual) is the most important feature and has a positive influence on the prediction.,4.8
11,5,"For this instance, the model predicted to recidivate.",5.33
12,1,Number_of_prior_crimes (Number of prior crimes committed) is the 4th most important feature and has a positive influence on the prediction.,22.7
12,2,Months_in_jail (Number of months spent in jail) is the third most important feature and has a positive influence on the prediction.,8.32
12,3,Age (Age of the individual) is the second most important feature and has a negative influence on the prediction.,5.19
12,4,Recidivated (Indicator if the individual has recidivated before) is the most important feature and has a positive influence on the prediction.,4.53
12,5,"For this instance, the model predicted to recidivate.",5.0
13,1,Age (Age of the individual) is the 4th most important feature and has a negative influence on the prediction.,21.04
13,2,Months_in_jail (Number of months spent in jail) is the third most important feature and has a positive influence on the prediction.,8.99
