id,text,ppl
0,"The features Goal Scored (Number of goals scored) and Off-Target (Number of off-target attempts) increase the predicted value, while Corners (Number of corner kicks), Passes (Total number of passes), and Ball Possession % (Percentage of ball possession) decrease the predicted value.",8.61
1,"The features Goal Scored (Number of goals scored) and Off-Target (Number of off-target attempts) increase the predicted value, while Corners (Number of corner kicks), Passes (Total number of passes), and Ball Possession % (Percentage of ball possession) decrease the predicted value.",8.61
2,"The features Goal Scored (Number of goals scored) and Off-Target (Number of off-target attempts) increase the predicted value, while Corners (Number of corner kicks), Passes (Total number of passes), and Ball Possession % (Percentage of ball possession) decrease the predicted value.",8.61
3,"The features Goal Scored (Number of goals scored) and Off-Target (Number of off-target attempts) increase the predicted value, while Corners (Number of corner kicks), Passes (Total number of passes), and Ball Possession % (Percentage of ball possession) decrease the predicted value.",8.61
4,"The feature Goal Scored (Number of goals scored) decreases the predicted value, while Ball Possession % (Percentage of ball possession), Corners (Number of corner kicks), and Off-Target (Number of off-target attempts) increase the predicted value. Passes (Total number of passes) decreases the predicted value.",9.65
5,"The features Goal Scored (Number of goals scored), Passes (Total number of passes), and Ball Possession % (Percentage of ball possession) decrease the predicted value, while Corners (Number of corner kicks) and Off-Target (Number of off-target attempts) increase the predicted value.",9.0
6,"The feature Goal Scored (Number of goals scored) greatly decreases the predicted value, while Corners (Number of corner kicks) and Off-Target (Number of off-target attempts) increase the predicted value. Passes (Total number of passes) and Ball Possession % (Percentage of ball possession) decrease the predicted value.",10.03
7,"The features Goal Scored (Number of goals scored) and Off-Target (Number of off-target attempts) increase the predicted value, while Corners (Number of corner kicks), Passes (Total number of passes), and Ball Possession % (Percentage of ball possession) decrease the predicted value.",8.61
8,"The feature Goal Scored (Number of goals scored) decreases the predicted value, while Passes (Total number of passes), Corners (Number of corner kicks), and Off-Target (Number of off-target attempts) increase the predicted value. Ball Possession % (Percentage of ball possession) decreases the predicted value.",9.5
9,"The features Goal Scored (Number of goals scored), Passes (Total number of passes), and Ball Possession % (Percentage of ball possession) decrease the predicted value, while Corners (Number of corner kicks) and Off-Target (Number of off-target attempts) increase the predicted value.",9.0
10,"The features Goal Scored (Number of goals scored), Corners (Number of corner kicks), and Off-Target (Number of off-target attempts) increase the predicted value, while Passes (Total number of passes) and Ball Possession % (Percentage of ball possession) decrease the predicted value.",8.65
11,"The features Goal Scored (Number of goals scored), Corners (Number of corner kicks), and Off-Target (Number of off-target attempts) increase the predicted value, while Passes (Total number of passes) and Ball Possession % (Percentage of ball possession) decrease the predicted value.",8.65
12,"The features Goal Scored (Number of goals scored), Corners (Number of corner kicks), Passes (Total number of passes), and Ball Possession % (Percentage of ball possession) decrease the predicted value, while Off-Target (Number of off-target attempts) increases the predicted value.",9.65
13,"The features Goal Scored (Number of goals scored), Corners (Number of corner kicks), and Off-Target (Number of off-target attempts) increase the predicted value, while Passes (Total number of passes) and Ball Possession % (Percentage of ball possession) decrease the predicted value.",8.65
14,"The features Off-Target (Number of off-target attempts), Corners (Number of corner kicks), Passes (Total number of passes), and Ball Possession % (Percentage of ball possession) decrease the predicted value, while Goal Scored (Number of goals scored) increases the predicted value.",11.9
15,"The features Goal Scored (Number of goals scored) and Off-Target (Number of off-target attempts) increase the predicted value, while Corners (Number of corner kicks), Passes (Total number of passes), and Ball Possession % (Percentage of ball possession) decrease the predicted value.",8.61
