text_id,sentence_index,removed_sentence,ppl_without_sentence,original_ppl,ppl_change
0,0,The model predicted that the student undertaking the mathematics course is likely to fail.,11.51,10.92,0.6
0,1,"This outcome is driven most strongly by the student’s second period grade, which is noticeably below the average—suggesting that recent academic performance has not met expectations and is a key warning sign for final success.",12.59,10.92,1.67
0,2,"The first period grade also falls short of the typical student’s, reinforcing the concern that the student has struggled to keep up with the course material over time.",12.92,10.92,2.0
0,3,"While the student has not failed any classes before, which is a positive sign, their number of absences is higher than average, possibly indicating missed learning opportunities that could further hinder progress.",14.71,10.92,3.8
0,4,"Although the student does not go out with friends often, which might suggest fewer distractions, the combination of lower grades and higher absences ultimately led the model to predict a failing outcome, highlighting the importance of consistent performance and attendance in passing the course.",13.39,10.92,2.48
1,0,The model predicted that the student undertaking the mathematics course is likely to fail.,13.01,12.1,0.91
1,1,"This outcome is driven most strongly by the student’s low grades in both the first and second periods, with scores of 5 and 6, which are well below the typical averages and suggest ongoing academic struggles.",17.11,12.1,5.01
1,2,"While the student’s parents are living apart, which can sometimes add stress or reduce support at home, this factor played a smaller role in the prediction.",13.47,12.1,1.37
1,3,"The number of absences, which matches the average, did not significantly sway the result, but frequent absences can sometimes compound academic difficulties.",12.1,12.1,0.0
1,4,"Finally, the fact that the student’s mother works at home may offer some support, but it was not enough to offset the impact of consistently low grades, which are the clearest signals of risk in this case.",15.7,12.1,3.6
2,0,The model predicted that the student undertaking the mathematics course is likely to pass.,12.54,12.32,0.22
2,1,"This confident prediction is driven most strongly by the student’s second period grade, which stands out as notably higher than average—a sign that the student has recently demonstrated strong mathematical ability, often a key indicator of final success.",14.51,12.32,2.19
2,2,"The student’s number of absences is slightly below average, suggesting consistent attendance, which is generally linked to better academic outcomes.",14.63,12.32,2.31
2,3,"While the first period grade is just below the average, the improvement seen in the second period may indicate positive momentum and growing mastery of the material.",14.0,12.32,1.68
2,4,"Additionally, the student’s age is a bit younger than typical for the course, and with no previous failures, this combination hints at a student who is progressing smoothly and steadily, further supporting the model’s optimistic outlook.",14.79,12.32,2.47
3,0,The model predicted that this student will pass the mathematics course.,14.07,13.93,0.14
3,1,"The most influential factor in this decision was the student’s strong second period grade of 14, which stands out well above the typical score and signals consistent academic performance.",17.23,13.93,3.3
3,2,"Supporting this, the first period grade of 15 further demonstrates the student’s ability to maintain high achievement over time, suggesting a solid grasp of the material from the start.",17.15,13.93,3.21
3,3,"The student’s very low number of absences and lack of previous class failures both point to strong engagement and reliability, which are often linked to better outcomes in school.",15.64,13.93,1.71
3,4,"Finally, being slightly younger than the average student may indicate that this student is progressing smoothly through their education, possibly benefiting from a supportive environment or strong foundational skills.",15.5,13.93,1.57
4,0,The model predicted that the student will pass the mathematics course.,17.0,15.38,1.62
4,1,"The most influential factor in this prediction was the student’s second period grade, which, although slightly below the average, may have been offset by other strengths.",22.62,15.38,7.24
4,2,"Notably, the student’s first period grade was above average, suggesting a solid academic foundation and the potential to recover from a dip in performance.",23.2,15.38,7.82
4,3,"Participation in extra paid classes likely signaled additional support and motivation, which can be especially helpful for students facing academic challenges.",14.39,15.38,-0.99
