id,text,ppl
0,"For the instance 31, the model predicted to get a man of the match award: Goal scored (Number of goals scored) is the most important feature and has a positive influence on the prediction, Corners (Number of corner kicks) is the second most important feature and has a negative influence on the prediction, Off-target (Number of off-target attempts) is the third most important feature and has a positive influence on the prediction, Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction, Ball possession % (Percentage of ball possession) is the 5th most important feature and has a negative influence on the prediction.",5.06
1,"For the instance 11, the model predicted to get a man of the match award: Goal scored (Number of goals scored) is the most important feature and has a positive influence on the prediction, Corners (Number of corner kicks) is the second most important feature and has a negative influence on the prediction, Off-target (Number of off-target attempts) is the third most important feature and has a positive influence on the prediction, Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction, Ball possession % (Percentage of ball possession) is the 5th most important feature and has a negative influence on the prediction.",4.98
2,"For the instance 40, the model predicted to get a man of the match award: Goal scored (Number of goals scored) is the most important feature and has a positive influence on the prediction, Corners (Number of corner kicks) is the second most important feature and has a negative influence on the prediction, Off-target (Number of off-target attempts) is the third most important feature and has a positive influence on the prediction, Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction, Ball possession % (Percentage of ball possession) is the 5th most important feature and has a negative influence on the prediction.",5.05
3,"For the instance 19, the model predicted to get a man of the match award: Goal scored (Number of goals scored) is the most important feature and has a positive influence on the prediction, Corners (Number of corner kicks) is the second most important feature and has a negative influence on the prediction, Off-target (Number of off-target attempts) is the third most important feature and has a positive influence on the prediction, Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction, Ball possession % (Percentage of ball possession) is the 5th most important feature and has a negative influence on the prediction.",5.04
4,"For the instance 4, the model predicted not to get a man of the match award: Goal scored (Number of goals scored) is the most important feature and has a negative influence on the prediction, Ball possession % (Percentage of ball possession) is the second most important feature and has a positive influence on the prediction, Corners (Number of corner kicks) is the third most important feature and has a positive influence on the prediction, Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction, Off-target (Number of off-target attempts) is the 5th most important feature and has a positive influence on the prediction.",4.79
5,"For the instance 94, the model predicted not to get a man of the match award: Goal scored (Number of goals scored) is the most important feature and has a negative influence on the prediction, Corners (Number of corner kicks) is the second most important feature and has a positive influence on the prediction, Passes (Total number of passes) is the third most important feature and has a negative influence on the prediction, Off-target (Number of off-target attempts) is the 4th most important feature and has a positive influence on the prediction, Ball possession % (Percentage of ball possession) is the 5th most important feature and has a negative influence on the prediction.",5.16
6,"For the instance 84, the model predicted not to get a man of the match award: Goal scored (Number of goals scored) is the most important feature and has a negative influence on the prediction, Corners (Number of corner kicks) is the second most important feature and has a positive influence on the prediction, Passes (Total number of passes) is the third most important feature and has a negative influence on the prediction, Off-target (Number of off-target attempts) is the 4th most important feature and has a positive influence on the prediction, Ball possession % (Percentage of ball possession) is the 5th most important feature and has a negative influence on the prediction.",5.15
7,"For the instance 70, the model predicted to get a man of the match award: Goal scored (Number of goals scored) is the most important feature and has a positive influence on the prediction, Corners (Number of corner kicks) is the second most important feature and has a negative influence on the prediction, Off-target (Number of off-target attempts) is the third most important feature and has a positive influence on the prediction, Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction, Ball possession % (Percentage of ball possession) is the 5th most important feature and has a negative influence on the prediction.",5.05
8,"For the instance 125, the model predicted not to get a man of the match award: Goal scored (Number of goals scored) is the most important feature and has a negative influence on the prediction, Passes (Total number of passes) is the second most important feature and has a positive influence on the prediction, Corners (Number of corner kicks) is the third most important feature and has a positive influence on the prediction, Off-target (Number of off-target attempts) is the 4th most important feature and has a positive influence on the prediction, Ball possession % (Percentage of ball possession) is the 5th most important feature and has a negative influence on the prediction.",5.19
9,"For the instance 105, the model predicted not to get a man of the match award: Goal scored (Number of goals scored) is the most important feature and has a negative influence on the prediction, Corners (Number of corner kicks) is the second most important feature and has a positive influence on the prediction, Passes (Total number of passes) is the third most important feature and has a negative influence on the prediction, Off-target (Number of off-target attempts) is the 4th most important feature and has a positive influence on the prediction, Ball possession % (Percentage of ball possession) is the 5th most important feature and has a negative influence on the prediction.",5.15
10,"For the instance 78, the model predicted to get a man of the match award: Goal scored (Number of goals scored) is the most important feature and has a positive influence on the prediction, Corners (Number of corner kicks) is the second most important feature and has a positive influence on the prediction, Off-target (Number of off-target attempts) is the third most important feature and has a positive influence on the prediction, Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction, Ball possession % (Percentage of ball possession) is the 5th most important feature and has a negative influence on the prediction.",5.05
11,"For the instance 0, the model predicted to get a man of the match award: Goal scored (Number of goals scored) is the most important feature and has a positive influence on the prediction, Corners (Number of corner kicks) is the second most important feature and has a positive influence on the prediction, Off-target (Number of off-target attempts) is the third most important feature and has a positive influence on the prediction, Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction, Ball possession % (Percentage of ball possession) is the 5th most important feature and has a negative influence on the prediction.",4.98
12,"For the instance 47, the model predicted not to get a man of the match award: Goal scored (Number of goals scored) is the most important feature and has a negative influence on the prediction, Corners (Number of corner kicks) is the second most important feature and has a negative influence on the prediction, Passes (Total number of passes) is the third most important feature and has a negative influence on the prediction, Off-target (Number of off-target attempts) is the 4th most important feature and has a positive influence on the prediction, Ball possession % (Percentage of ball possession) is the 5th most important feature and has a negative influence on the prediction.",5.14
