text_id_shuff,num_sentences_shuff,last_sentence_shuff,ppl_shuff
0,1,"Despite this, the player’s four off-target attempts contributed modestly to the prediction, indicating an active offensive presence even if not all shots were on target.",49.66
0,2,"This achievement set a favorable tone, signaling the player’s significant impact on the match.",35.1
0,3,"However, this positive momentum was partially offset by the relatively low number of corner kicks, which slightly diminished the likelihood of the award, suggesting that the team may have created fewer attacking opportunities from set pieces.",20.37
0,4,"Meanwhile, the total number of passes and the percentage of ball possession had minimal negative effects, implying that while the team did not dominate possession or passing, these factors were not decisive.",16.0
0,5,"The model’s prediction that the team’s player would receive the 'Man of the Match' award is primarily driven by the fact that the team scored two goals, which exerted a strong positive influence on the outcome.",12.33
0,6,"Altogether, the model recognized that the player’s goal-scoring performance outweighed the less influential aspects, ultimately tipping the prediction in favor of receiving the award.",11.25
1,1,"Nevertheless, the player’s five off-target attempts contributed a modest positive effect, suggesting an active offensive presence.",175.59
1,2,"Although the team only managed to win two corner kicks, this slightly reduced the likelihood of the award, as did the relatively low number of passes and limited ball possession, both of which subtly detracted from the prediction.",39.52
1,3,"Altogether, the decisive impact of scoring a goal outweighed the negative effects of limited possession and corners, ultimately tipping the prediction in favor of the player receiving the accolade.",22.9
1,4,"The model’s prediction that the team’s player would receive the 'Man of the Match' award is primarily driven by the fact that the player scored a goal, which exerted the strongest positive influence on the outcome.",14.48
2,1,"As the match progressed, the team’s five off-target attempts contributed a modest positive influence, suggesting some offensive activity, but this was not enough to outweigh the negative signals.",57.49
2,2,"At the outset, the fact that the team managed to score a goal played a positive role, nudging the prediction slightly in favor of the award.",26.25
2,3,"However, this initial advantage was soon counteracted by the relatively high number of corner kicks, which the model interpreted as a sign of missed opportunities, thereby diminishing the likelihood of the award.",15.23
2,4,"Meanwhile, the sheer volume of passes and the nearly even ball possession percentage exerted minimal, slightly negative effects, indicating that while the team maintained control and circulated the ball, these efforts did not translate into decisive moments that typically sway the award decision.",14.21
2,5,The model’s prediction that the team’s player would not receive the 'Man of the Match' award unfolds as a result of several interacting factors.,13.18
2,6,"Ultimately, the interplay of these factors—where the positive impact of scoring was overshadowed by missed chances and unremarkable possession—led the model to conclude that the team’s player was unlikely to be recognized as 'Man of the Match.'",10.27
3,1,"Meanwhile, the high number of off-target attempts contributed modestly in favor of the prediction, indicating an active attacking presence, even if not always precise.",90.79
