id,text,ppl
0,"The features Purpose (Purpose of the loan), Credit amount (Amount of credit requested), Age (Age of the applicant), Checking account (Status of the applicant's checking account), and Housing (Housing status (Own, Rent, etc.)) increase the predicted value.",13.77
1,"The features Age (Age of the applicant), Credit amount (Amount of credit requested), Purpose (Purpose of the loan), and Housing (Housing status (Own, Rent, etc.)) increase the predicted value, while Sex (Gender of the applicant) decreases the predicted value.",11.45
2,"The features Duration (Duration of the loan in months), Credit amount (Amount of credit requested), and Sex (Gender of the applicant) increase the predicted value, while Age (Age of the applicant) and Purpose (Purpose of the loan) decrease the predicted value.",8.0
3,"The features Duration (Duration of the loan in months) and Housing (Housing status (Own, Rent, etc.)) increase the predicted value, while Purpose (Purpose of the loan), Age (Age of the applicant), and Credit amount (Amount of credit requested) decrease the predicted value.",10.29
4,"The features Age (Age of the applicant), Purpose (Purpose of the loan), Credit amount (Amount of credit requested), and Housing (Housing status (Own, Rent, etc.)) increase the predicted value, while Duration (Duration of the loan in months) decreases the predicted value.",11.64
5,"The features Age (Age of the applicant) and Checking account (Status of the applicant's checking account) decrease the predicted value, while Purpose (Purpose of the loan), Duration (Duration of the loan in months), and Housing (Housing status (Own, Rent, etc.)) increase the predicted value.",10.71
6,"The features Duration (Duration of the loan in months) and Housing (Housing status (Own, Rent, etc.)) increase the predicted value, while Age (Age of the applicant), Checking account (Status of the applicant's checking account), and Sex (Gender of the applicant) decrease the predicted value.",9.53
7,"The features Age (Age of the applicant) and Housing (Housing status (Own, Rent, etc.)) decrease the predicted value, while Purpose (Purpose of the loan), Duration (Duration of the loan in months), and Credit amount (Amount of credit requested) increase the predicted value.",12.53
8,"The features Duration (Duration of the loan in months), Age (Age of the applicant), and Checking account (Status of the applicant's checking account) decrease the predicted value, while Purpose (Purpose of the loan) and Housing (Housing status (Own, Rent, etc.)) increase the predicted value.",10.09
9,"The features Age (Age of the applicant), Credit amount (Amount of credit requested), and Checking account (Status of the applicant's checking account) increase the predicted value, while Housing (Housing status (Own, Rent, etc.)) and Purpose (Purpose of the loan) decrease the predicted value.",10.6
10,"The features Credit amount (Amount of credit requested), Purpose (Purpose of the loan), Housing (Housing status (Own, Rent, etc.)), and Duration (Duration of the loan in months) increase the predicted value, while Age (Age of the applicant) decreases the predicted value.",11.04
11,"The features Purpose (Purpose of the loan), Credit amount (Amount of credit requested), and Housing (Housing status (Own, Rent, etc.)) increase the predicted value, while Duration (Duration of the loan in months) and Sex (Gender of the applicant) decrease the predicted value.",12.07
12,"The features Duration (Duration of the loan in months), Age (Age of the applicant), and Housing (Housing status (Own, Rent, etc.)) increase the predicted value, while Purpose (Purpose of the loan) and Credit amount (Amount of credit requested) decrease the predicted value.",9.27
13,"The features Credit amount (Amount of credit requested), Duration (Duration of the loan in months), Housing (Housing status (Own, Rent, etc.)), and Sex (Gender of the applicant) increase the predicted value, while Purpose (Purpose of the loan) decreases the predicted value.",11.3
