text_id,sentence_index,removed_sentence,ppl_without_sentence,original_ppl,ppl_change
0,0,"At the outset, the model closely examined the patient's age, which emerged as the most influential factor in shaping the stroke risk prediction.",11.88,9.81,2.08
0,1,"Because the patient is 78 years old, this advanced age substantially increased the estimated risk, reflecting the well-established link between aging and heightened vulnerability to stroke.",12.83,9.81,3.02
0,2,"Meanwhile, the patient's average glucose level and body mass index both exerted a slight downward pressure on the risk, as their values—93.85 for glucose and 22.70 for BMI—fell within ranges typically associated with lower stroke likelihood.",10.71,9.81,0.91
0,3,"Furthermore, the absence of hypertension provided a marginal protective effect, subtly reducing the predicted risk.",10.48,9.81,0.68
0,4,"Finally, the patient's gender, being male, did not meaningfully sway the model's assessment.",10.94,9.81,1.14
0,5,"Taken together, while several health indicators contributed minor adjustments, it was the patient's advanced age that decisively elevated the overall risk prediction.",11.0,9.81,1.2
1,0,"In evaluating the risk of stroke for this individual, the model first considered the patient's age of 51, which slightly reduced the predicted risk, suggesting that age, while relevant, did not strongly elevate concern in this case.",12.05,9.76,2.29
1,1,"Furthermore, the patient's average glucose level of 98.41 contributed marginally to lowering the risk, indicating stable blood sugar levels that do not signal immediate danger.",10.6,9.76,0.84
1,2,"Conversely, the patient's Body Mass Index of 32.10 exerted a small upward influence on the risk, reflecting that a higher BMI can incrementally increase vulnerability to stroke.",11.27,9.76,1.51
1,3,"The absence of hypertension further nudged the risk downward, as not having high blood pressure is generally protective.",10.33,9.76,0.57
1,4,"Finally, the patient's gender, being male, had a negligible effect on the prediction.",11.28,9.76,1.52
1,5,"Altogether, these factors interacted to shape the model's assessment, with age and metabolic health indicators playing the most prominent roles in determining the overall risk.",10.53,9.76,0.78
2,0,"In evaluating the risk of stroke for this individual, the model first considered the patient's age of 39, which played a significant role in lowering the predicted risk, as younger age is generally associated with a reduced likelihood of stroke.",10.68,7.15,3.53
2,1,"Furthermore, the patient's average glucose level of 89.32 contributed slightly to decreasing the risk, reflecting the protective effect of maintaining healthy blood sugar levels.",8.03,7.15,0.87
2,2,"Although the patient's body mass index of 31 exerted a minor upward influence on the risk, suggesting that higher BMI can incrementally increase vulnerability, this effect was relatively small compared to the mitigating factors.",7.82,7.15,0.67
2,3,"The absence of hypertension further diminished the risk, as not having high blood pressure is a well-established protective factor against stroke.",7.85,7.15,0.7
2,4,"Lastly, the patient's gender, being female, had a negligible impact on the prediction.",7.92,7.15,0.77
2,5,"Altogether, these factors interacted to produce a lower overall risk of stroke, with age and healthy glucose levels serving as the primary drivers behind the model's assessment.",7.37,7.15,0.22
3,0,"In evaluating the risk of stroke for this individual, the model first considered the patient's age of 52, which slightly reduced the predicted risk, suggesting that age alone did not strongly elevate concern in this case.",12.35,9.61,2.74
3,1,"As the analysis progressed, the patient's average glucose level of 101.30 further contributed to a marginal decrease in risk, indicating stable blood sugar levels that do not signal heightened vulnerability.",10.88,9.61,1.26
3,2,"However, the patient's Body Mass Index of 33.10 exerted a modest upward influence, reflecting that a higher BMI can incrementally increase stroke risk.",12.31,9.61,2.7
3,3,"Meanwhile, the absence of hypertension provided a subtle protective effect, gently lowering the overall risk.",11.57,9.61,1.95
3,4,"Finally, the patient's gender, being female, did not meaningfully sway the prediction.",10.37,9.61,0.76
3,5,"Altogether, these factors interacted to shape the model's assessment, with age and glucose level slightly mitigating risk, BMI nudging it upward, and hypertension status offering a minor safeguard, culminating in a nuanced evaluation of stroke risk for this individual.",12.31,9.61,2.7
4,0,"In predicting this individual's risk of stroke, the model primarily focused on the patient's age, which at 64 years, significantly increased the predicted risk.",9.64,7.84,1.79
4,1,"This strong influence of age suggests that, as people grow older, their likelihood of experiencing a stroke rises markedly.",8.41,7.84,0.57
4,2,"Meanwhile, the patient's average glucose level, measured at 90.07, slightly reduced the risk, indicating that maintaining glucose within a healthy range can help mitigate stroke risk.",8.11,7.84,0.27
4,3,"The patient's body mass index of 28.60 contributed a small increase to the risk, reflecting the model's recognition that higher BMI values can elevate stroke likelihood, albeit to a lesser extent than age.",8.76,7.84,0.91
4,4,"Notably, the absence of hypertension marginally decreased the risk, underscoring the protective effect of normal blood pressure.",8.86,7.84,1.01
4,5,"Finally, the patient's gender, being male, had a negligible impact on the prediction.",8.75,7.84,0.91
4,6,"Altogether, the model's assessment weaves these factors together, with age emerging as the dominant driver, while other health indicators subtly adjust the overall risk estimate.",7.78,7.84,-0.07
5,0,"In this case, the model predicts a low risk of stroke for the individual, and this outcome is primarily shaped by several interrelated health factors.",8.25,6.97,1.28
5,1,"At the outset, the patient's young age emerges as the most influential factor, substantially decreasing the predicted risk; the model recognizes that younger individuals are generally less susceptible to stroke.",8.81,6.97,1.84
5,2,"Furthermore, the patient's body mass index, which falls within a healthy range, exerts a slight downward pressure on the risk, reinforcing the protective effect of youth.",8.14,6.97,1.17
5,3,"As the narrative unfolds, the average glucose level, which is well within normal limits, contributes marginally to lowering the risk, suggesting stable metabolic health.",6.56,6.97,-0.41
5,4,"Additionally, the absence of hypertension further diminishes the likelihood of stroke, as high blood pressure is a well-known risk factor.",8.38,6.97,1.42
5,5,"Finally, the patient's gender does not meaningfully alter the prediction in this instance.",7.18,6.97,0.21
5,6,"Altogether, these factors interact to produce a reassuringly low risk assessment, with the patient's age serving as the cornerstone of the model's reasoning.",7.23,6.97,0.27
6,0,"In evaluating this individual's risk of stroke, the model primarily considered the patient's age, which, at just 9 years old, significantly reduced the predicted risk.",13.73,9.45,4.28
6,1,"This youthful age acted as a strong protective factor, exerting the largest downward influence on the risk score.",10.8,9.45,1.35
6,2,"Additionally, the patient's low body mass index and modest average glucose level contributed slightly to lowering the risk, though their effects were much less pronounced.",10.81,9.45,1.36
6,3,"The absence of hypertension further nudged the prediction downward, albeit to a minimal extent.",10.13,9.45,0.68
6,4,"Finally, the patient's gender did not meaningfully affect the outcome.",10.09,9.45,0.63
6,5,"Altogether, these factors combined to produce a prediction of low stroke risk, with the patient's young age serving as the most decisive element in shaping this assessment.",11.21,9.45,1.76
7,0,"In this case, the model predicts a low risk of stroke for the individual, and this outcome is primarily shaped by several interrelated health factors.",9.91,7.6,2.32
